	dist_type_parasite
23x39	638.0944287485984
23x41	733.3375348364491
23x43	674.1099984423907
23x45	551.4136197084724
23x47	431.4157391658307
23x49	312.15715593271295
23x51	201.3256069157621
23x53	128.57110872976102
23x55	153.11463026112185
24x26	552.9756775844666
24x28	469.94318805574767
24x30	416.51507775829685
24x32	396.6000504286402
24x34	420.4890604997946
24x36	474.0167613070236
24x38	554.6228448233991
24x40	647.2867988766648
24x42	749.2188799009273
24x44	628.143295753445
24x46	513.9307832772812
24x48	393.069586714617
24x50	287.0207135382394
24x52	205.98915019971335
24x54	182.9939070023919
24x56	237.24017366373698
25x27	468.34843866506054
25x29	386.3141338341117
25x31	345.304228181469
25x33	350.33082935990666
25x35	394.8282158103701
25x37	466.10161982125754
25x39	560.340048541955
25x41	669.4975130648359
25x43	711.857211805851
25x45	591.8656012981327
25x47	477.6921602873549
25x49	378.06732204727774
25x51	290.6841928966897
25x53	241.83178037635992
25x55	255.89943337178389
25x57	323.32166645617804
26x28	378.01271142648096
26x30	307.91018170888697
26x32	279.0623765397263
26x34	303.3438478031158
26x36	370.1969745959574
26x38	461.8600004330316
26x40	569.8001140751029
26x42	683.2554134436112
26x44	687.9049352926606
26x46	576.1623816251806
26x48	471.39288284826705
26x50	385.17483043418065
26x52	320.70038977213596
26x54	301.06378061799484
26x56	330.44291488848717
26x58	400.5722157114748
27x27	391.6826521560535
27x29	295.33072986060876
27x31	234.0446538590443
27x33	228.5147916437796
27x35	285.71008032619386
27x37	379.411781577747
27x39	486.8218770762052
27x41	602.8417536966067
27x43	723.379139870649
27x45	659.6872137611882
27x47	554.2586039025466
27x49	467.8169834454496
27x51	397.61872440819485
27x53	362.5537891127331
27x55	364.88817465081024
27x57	410.8879774342397
28x28	306.39037191139016
28x30	213.62041100980932
28x32	164.95869179888652
28x34	198.59128883211372
28x36	295.04941958932943
28x38	407.6489911676468
28x40	522.4894448694637
28x42	644.41218175947
28x44	745.143341914829
28x46	642.9293118220696
28x48	552.8492109065544
28x50	478.4300262316321
28x52	430.8131845707603
28x54	415.67037421495417
28x56	435.98418549300624
28x58	492.46419159163247
29x29	223.76320072791248
29x31	128.73826160081538
29x33	118.4088679111492
29x35	207.62584135892163
29x37	322.89118910245907
29x39	443.0241528404521
29x41	567.0027336794773
29x43	692.9597751673617
29x45	728.5659887752104
29x47	637.1383601699083
29x49	560.3597505174688
29x51	506.11342602227046
29x53	479.8680235231353
29x55	477.10402429658893
29x57	514.9315488489711
30x30	130.03414936085034
30x32	45.00044444224968
30x34	128.61994402113555
30x36	250.95099123135608
30x38	375.72203821442275
30x42	625.5172099950571
30x44	754.8917405827144
30x46	721.9925276621638
30x48	646.4636107314934
30x50	584.5410592935281
30x52	548.7421434517312
30x54	535.3399854298202
30x56	554.0820336376197
30x58	603.354166306988
31x33	46.376826109599136
31x35	180.52836342248273
31x37	305.72119651735005
31x39	432.5111096839016
31x43	688.8065330700633
31x45	689.5928073870838
31x47	691.1970630724641
31x49	658.0949019708328
31x51	606.9728989007662
31x53	573.5906292818946
31x55	558.7001431895286
31x57	573.5971582914267
32x34	126.06823549173707
32x36	244.1553808540784
32x38	371.32584073829315
32x42	627.8919652296886
32x44	641.1843104755445
32x46	630.0999999999999
32x48	642.182442924127
32x50	578.4871649397243
32x52	533.1551837879847
32x54	507.1952385423191
32x56	502.98415482001025
32x58	537.290768578802
33x33	118.57697921603543
33x35	210.10342691160488
33x37	325.2205405567122
33x39	450.54475915273974
33x43	605.2629180777554
33x45	573.1842286734693
33x47	575.1696184605025
33x49	563.5262016978444
33x51	494.910951586242
33x53	460.86303822285396
33x55	446.6001007612962
33x57	459.1402835735499
34x32	152.3896321932699
34x34	186.4129823805202
34x36	285.60885840603765
34x38	400.52368219619683
34x40	513.8398291296622
34x44	542.720047538323
34x46	520.6312034444343
34x48	536.278668231359
34x50	492.0295926059731
34x52	435.633251715247
34x54	402.3565707180634
34x56	400.80325597479833
34x58	429.91275859178666
35x23	352.56415019113876
35x29	280.32204693887337
