	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
7x15	369.78000216344856	539.5	87.38563955250314	291.94391584686264
7x17	250.76032381539144	546.5461920094219	66.78278221218403	260.62912346857934
7x19	144.53435577744133	419.48990452691464	176.02550951495647	211.1250340438101
7x21	92.10000000000014	291.9561782185813	202.3922182298519	227.76042237403746
7x23	150.94518872756433	167.25205529379892	80.00656223085697	297.76710698127835
7x25	154.07433270989696	58.44056810127693	46.96913880411271	397.7120817878181
7x27	233.18670631063	74.77860656631684	57.229712562619035	481.5037279191097
7x29	340.88226706591837	180.59656696626328	47.47125445993615	529.3897618957133
7x31	458.02892921735855	303.75796285858917	175.7125493526288	601.9143626796091
8x12	518.8001542019817	517.7978369981859	280.90888202404705	212.174456521043
8x14	448.42234556275173	486.2464395756539	172.9855485293496	227.21003498965453
8x16	332.89004190573195	487.2487865556979	107.89337329048521	260.32322216813475
8x18	229.92357425892632	480.70599122540585	152.52491599735447	177.37150278440998
8x20	159.2865656607613	352.5081701180839	257.32782593415743	155.42525534802886
8x22	160.88769374939773	224.64115829473448	137.26270433005453	212.3046160590957
8x24	201.0865733956397	96.98252419895026	19.94016048079846	312.56328959108436
8x26	233.56765615127472	0.5	98.0798144370188	410.5153468507602
8x28	318.81952575085484	104.9041943870692	42.87295184612317	449.89697709586807
8x30	424.90737814257824	232.31160108784928	122.67306142751963	516.2819772178766
8x32	538.8317826557748	360.2780731601634	244.68120074905636	604.2769977419297
9x11	455.5001756311407	496.06371566563894	362.26096946814465	159.40329356697734
9x13	529.7767926211944	443.4165648687472	259.0329129666731	160.291765228286
9x15	416.76257029632586	425.00004705882094	181.828600610575	181.4520322289062
9x17	315.273611328319	443.345068766982	171.1264152607656	178.91855689111736
9x19	238.14218441930856	421.23829360588763	238.57849861209203	98.72436376092787
9x21	208.00021634604133	294.8913189634445	214.38631019726978	126.82227722289174
9x23	240.48078925352866	172.38390296080436	106.13675141062129	228.48590766171984
9x25	263.6805832821219	57.46172639244308	79.48238798627037	340.13004865786263
9x27	317.2645583736073	59.25706708908242	120.50560152955556	371.3491618409821
9x29	406.05276750688455	174.91669445767613	115.39865683793724	431.8051065006064
9x31	509.18177500770787	299.8744403913078	206.0404814593482	518.3790890844268
9x33	621.2695389281532	426.61908067970893	322.07707152170894	544.7045437666185
10x10	393.70001270002524	482.25107568568455	446.5768690830281	135.1994822475292
10x12	521.9000095803793	408.47034164061404	345.2581932409426	96.52781982413144
10x14	501.39972078173315	367.6953630384805	264.76533005663714	108.80018382337408
10x16	401.4319369457293	369.9643226042208	226.35591443565158	165.03878332076977
10x18	320.6033374748305	410.7672090125987	252.6311540566604	90.60739484170143
10x20	273.83851080518247	370.33731921047325	295.3884391779746	42.418510110563744
