	dist_type_parasite
32x52	107.89513427397911
32x54	193.36928401377511
32x56	307.65812194707325
32x58	423.1817103798323
33x29	222.95212490577418
33x31	235.49169836747967
33x33	300.41879102346405
33x35	287.4680677918852
33x37	320.9747653632601
33x39	239.25218912269148
33x41	174.06539001191513
33x43	182.47651903738222
33x45	254.93656073619596
33x47	260.41230769685177
33x49	138.34052190157414
33x51	44.96053825300566
33x53	108.6811851241971
33x55	229.73909114471581
33x57	354.2828389860285
34x30	165.10317986035278
34x32	216.29054533196762
34x34	239.1269537296035
34x36	240.37406266067876
34x38	307.5720728544774
34x40	253.96482039841672
34x42	224.50008908684202
34x44	254.78965834586015
34x46	323.2556882716836
34x48	193.98195792392622
34x50	70.65479460022472
34x52	19.798989873223654
34x54	152.50472123839313
34x56	281.40001776830087
34x58	404.10060628511843
35x29	115.70777847664323
35x31	131.981551741143
35x33	202.35770309034427
35x35	170.2440894715583
35x37	221.50778767348103
35x39	302.12687732143246
35x41	283.6440198558751
35x43	282.90636260077326
35x45	273.52703705484004
35x47	258.04117888430136
35x49	136.44295511311665
35x51	31.087135603011443
35x53	97.49302539156344
35x55	220.58587896780725
35x57	346.0124997742137
35x59	472.1906818225027
36x28	106.58217486990972
36x30	48.69517429889705
36x32	146.89550707901202
36x34	119.92968773410496
36x36	137.4557383305622
36x38	232.89091867224028
36x40	272.630610900537
36x42	256.15302067319004
36x44	214.88976243646377
36x46	238.6061189492003
36x48	217.53760594435164
36x50	116.39866837726291
36x52	95.16769409836529
36x54	182.41600806946764
36x56	297.22336718367245
36x58	418.13386612423557
37x27	152.46642253296307
37x29	21.0
37x31	69.1416661644772
37x33	109.0255474648028
37x35	57.343613419455906
37x37	147.8057170748142
37x39	189.79999999999984
37x41	256.9060917923121
37x43	177.54098118462645
37x45	165.96713530093845
37x47	226.91084152151043
37x49	203.28229140778606
37x51	146.83119559548672
37x53	175.88066977357127
37x55	267.25227782004055
37x57	379.83450343537794
37x59	496.60422873753305
38x28	97.77658206339602
38x30	44.77253622478884
38x32	141.61786610452782
38x34	16.279127740760394
38x36	72.71237858851813
38x38	113.91597780820727
38x40	180.80732839130152
38x42	160.78662879729754
38x44	98.31729247695934
38x46	143.03181464275687
38x48	245.35967476339727
38x50	221.9644115618538
38x52	214.34180646808034
38x54	266.7221213172992
38x56	368.48622769379074
38x58	467.11995247473664
39x25	298.9323836589137
39x27	184.4184914806538
39x29	100.41075639591645
39x31	129.84286657340866
39x33	91.01236179772503
39x35	34.541569159492575
39x37	71.42268547177407
39x39	97.29881808120821
39x41	194.5880777437298
39x43	77.65487750296147
39x45	58.760871334587804
39x47	160.61223490133014
39x49	284.2191056209983
39x51	265.8380898216057
39x53	288.05751161877413
39x55	354.057693038861
39x57	448.9910466813344
39x59	554.4785748791383
40x26	266.0594858297671
40x28	181.72022452110266
40x30	156.4047633545732
40x32	148.02178893662892
40x34	35.71134273588697
40x36	89.5115634988015
40x38	9.154780172128715
40x40	126.60055292138357
40x42	123.1003655559153
40x44	0.5099019513593499
40x46	88.90022497159394
40x48	213.71237680583715
40x50	329.2050576768228
40x52	326.07522138304245
40x54	362.73892815632604
40x56	435.9248673796898
40x58	529.6927505639472
41x25	356.07618566817973
41x27	262.6218764688122
41x29	214.65069298746778
41x31	207.54491080245742
41x33	80.11304512999087
41x35	25.044959572736563
41x37	38.82074187853711
41x39	66.64833081180693
41x41	188.13646642796306
41x43	83.60915021694713
41x45	59.47100133678622
41x47	162.6921633023546
41x49	285.43449336056113
41x51	378.5082561847231
41x53	395.2546647416068
41x55	445.72642955068335
41x57	525.4454205719184
42x24	439.5870448500501
42x26	348.0966819721212
42x28	285.71440285711924
42x30	268.6656100061934
42x32	163.63550959373075
42x34	68.41849165247677
42x36	97.80311855968591
42x38	76.52777273643864
42x40	151.02162096865493
42x42	167.6386888519472
42x44	98.76720103354148
42x46	141.7127376067519
42x48	246.3429519998495
42x50	361.07154415711057
42x52	438.3677109459592
43x25	434.3175911703324
43x27	362.96948907587256
43x29	328.03527249367556
43x31	244.50008179957715
43x33	152.65654260463265
43x35	78.87895790386663
43x37	64.56198571915223
43x39	152.0541022136531
43x41	237.28000337154432
43x43	179.87267719139575
43x45	160.0460558714274
43x47	227.19368389108016
43x49	328.6324694852902
44x24	519.4257020979998
44x26	444.0904975340049
44x28	395.0184426074307
44x30	330.74469005563793
44x32	237.12443990445186
44x34	121.70004108462723
44x36	0.7071067811865476
44x38	101.45048053114395
44x40	230.01469518272089
44x42	255.49344414289789
44x44	213.4943793171148
44x46	237.91857850954008
44x48	313.24833598919594
45x23	606.275094326
45x25	527.4481965084343
45x27	469.1021743714263
45x29	415.78593049789436
45x31	318.6876213472997
45x33	195.34065117122927
45x35	78.12969985863258
45x37	63.569253574350306
45x39	174.914865005808
45x41	299.526242589861
45x43	282.8813178702336
45x45	275.52368319257096
45x47	318.97161315703323
46x24	607.9374721137035
46x26	542.7773208231899
46x28	499.38708433438677
46x30	393.91827832686323
46x32	273.9572411892045
46x34	160.80049751166797
46x36	92.12236427708545
46x38	144.5181303504859
46x40	253.17069340664256
46x42	354.4102848394783
46x44	322.9261525488453
46x46	340.6060774560548
47x23	692.2039656055144
47x25	623.1192662725173
47x27	575.6161307677194
47x29	474.3087812807181
47x31	355.2227751707371
47x33	246.3210912609799
47x35	166.33201736286398
47x37	158.38914104192895
47x39	229.05564826041746
47x41	336.0034077208149
47x43	297.8730266405469
47x45	303.7328102131872
48x24	705.1721562852578
48x26	649.0618229413898
48x28	551.5502696944313
48x30	437.5605215281652
48x32	331.98730397411316
48x34	247.20525884373885
48x36	206.73248414315574
48x38	237.00390292145002
48x40	318.37903511380904
48x42	261.28407911696405
48x44	237.17464029697612
