	dist_type_parasite
30x38	399.1054998368227
30x40	321.4601841597185
30x42	279.94406584173225
30x44	293.81097664995457
30x46	332.4339483265814
30x48	306.1049656572072
30x50	221.9938737893455
30x52	171.75895900942106
30x54	192.57268757536698
30x56	273.14584016601833
30x58	271.31575700648114
31x25	611.9367287555145
31x27	650.2820311218821
31x29	638.3381079020741
31x31	643.9861489193692
31x33	674.2297605416124
31x35	581.5048237117214
31x37	483.8731755325977
31x39	403.83220525361764
31x41	350.27076669342523
31x43	336.90047491803887
31x45	368.7950379275732
31x47	329.2962192312565
31x49	220.9305773314318
31x51	142.57689153575998
31x53	115.68980076048169
31x55	188.1561585492219
31x57	211.57582565123047
32x24	658.7399183289263
32x26	682.0374769761552
32x28	679.3919413711054
32x30	694.4788909678971
32x32	713.5308612807158
32x34	665.0001879698982
32x36	570.1610737326779
32x38	489.31090320980974
32x40	427.2154023440634
32x42	395.2176615486712
32x44	406.62183905934046
32x46	370.7243989812376
32x48	248.41811528147446
32x50	134.4617789559545
32x52	63.152276285182225
32x54	101.87075144515242
32x56	174.9647107276203
32x58	157.05292101708866
33x25	635.9177462533969
33x27	620.0937509764145
33x29	627.8461674646103
33x31	662.9016593733945
33x33	716.1911267252617
33x35	654.4814206683028
33x37	571.0002189141437
33x39	504.09789723822513
33x41	464.3236155958474
33x43	451.9211546276632
33x45	427.25229080719964
33x47	298.58715645519635
33x49	171.68605068554598
33x51	49.689133620943544
33x53	17.666352198459283
33x55	142.1330714506655
33x57	97.57561170702415
33x59	138.522380863166
34x24	602.0658435752684
34x26	570.465511665692
34x28	566.5342090288984
34x30	589.3839580443293
34x32	635.951924283589
34x34	703.6103822428998
34x36	654.3072749098849
34x38	584.0073030365289
34x40	533.4865321636528
34x42	508.8052279605629
34x44	494.33790063073246
34x46	366.19516654374337
34x48	238.7475863752343
34x50	111.98290048038558
34x52	13.100000000000364
34x54	86.55922827752106
34x56	91.2772151196559
34x58	53.351757234415494
35x25	525.6744715125509
35x27	506.60581323154963
35x29	516.5147238946823
35x31	556.0864770878716
35x33	619.5102016916269
35x35	701.0260551505914
35x37	664.9824358582712
35x39	608.5793292579039
35x41	545.6432992349487
35x43	495.68200491847574
35x45	437.3980909880609
35x47	312.848365826002
35x49	190.64209923309178
35x51	88.75590121225721
35x53	91.11410428687782
35x55	142.40624986284809
35x57	16.972919607421545
35x59	90.00049999861112
36x24	494.8841177487916
36x26	456.70437922139524
36x28	452.0688443146685
36x30	479.0469809945575
36x32	536.5845506534827
36x34	615.2535168530122
36x36	707.662073309005
36x38	621.0071577687329
36x40	532.8180270974319
36x42	464.9236173824683
36x44	422.72933420807203
36x46	391.6249736674103
36x48	274.3400262448045
36x50	173.77945793447498
36x52	127.40003924646187
36x54	171.10429567956535
36x56	100.37913129729695
36x58	63.282304003568214
37x25	417.63722295791587
37x27	392.26854322007483
37x29	404.9301174276862
37x31	453.0742985427445
37x33	529.7225783370009
37x35	621.8632084309216
37x37	635.6544108239945
37x39	533.5698829581743
37x41	449.0802155517429
37x43	386.4335518559431
37x45	358.7619405678364
37x47	358.996949847767
37x49	259.85659506735647
37x51	194.00930390061228
37x53	195.7880742026951
37x55	174.16641467286385
37x57	94.3631283923966
37x59	131.61584251145445
38x26	344.1978791335006
38x28	337.94680054706816
38x30	374.19525651723603
38x32	444.01387365711895
38x34	536.5072413304409
38x36	640.3447196627765
38x38	548.9341854903918
38x40	450.8154833188405
38x42	366.29728363721136
38x44	314.47138184578876
38x46	304.47878415416704
38x48	344.5177789316538
38x50	270.20690220643877
