	dist_type_ambigious
29x19	619.5390625295549
29x21	547.9621337282349
29x23	473.4989862713539
29x25	432.6068076209617
29x27	429.3801346126761
29x29	463.6361720142204
29x31	389.4822203900967
29x33	332.239010352487
29x35	322.678353782834
29x37	345.8209074072878
29x39	411.2985898346843
29x41	496.1136160195568
30x18	623.1470532707348
30x20	528.851831801687
30x22	449.96205395566386
30x24	392.63989863486876
30x26	372.8247979949829
30x28	390.8989639280207
30x30	386.13751436502486
30x32	304.68688846092437
30x34	263.6249798482683
30x36	277.9432496032236
30x38	334.9557134906045
30x40	418.4415132369159
30x42	519.0329854643153
31x17	640.3488580453626
31x19	536.9210370249986
31x21	442.68374716043024
31x23	368.53391974145336
31x25	320.8414717582497
31x27	319.2517032061066
31x29	364.12131220240315
31x31	301.79966865455617
31x33	224.41479452121672
31x35	206.75379077540498
31x37	251.8817381232709
31x39	332.77454830560595
31x41	434.6102276753275
32x18	556.9290978212575
32x20	450.3263816389173
32x22	357.15538635165495
32x24	288.67715531368214
32x26	257.2295667297986
32x28	283.98177758440744
32x30	316.71766606869255
32x32	213.90037400621813
32x34	149.31741358595784
32x36	170.92574411129522
32x38	246.4722499593007
32x40	350.11292464003697
32x42	465.60160008316126
33x17	589.5671123799222
33x19	475.9421498459658
33x21	364.36317047692916
33x23	272.72339466939746
33x25	210.52472538872954
33x27	208.0827960211992
33x29	268.0170330408125
33x31	235.5669119379882
33x33	128.23794290302644
33x35	94.53232251457709
33x37	159.5958959372075
33x39	265.7812070105786
33x41	384.8034303381405
34x18	517.5154587063074
34x20	395.0939128865438
34x22	282.9115232718524
34x24	191.99554682335733
34x26	144.5987897598039
34x28	179.46169507725043
34x30	275.27575265540565
34x32	161.80012360934688
34x34	51.297758235618595
34x36	68.57667241854179
34x38	180.57234007455327
34x40	300.2160555333444
34x42	425.6360534541219
35x13	814.9535753648794
35x19	441.2742457927949
35x21	314.3270271548405
35x23	202.7877708344365
35x25	112.56686901570966
35x27	98.57383019848629
35x29	194.20123583540854
35x31	218.45221445432855
35x33	93.43457604120641
35x35	0.4242640687118642
