	dist_type_ambigious	dist_type_portal
19x25	87.10281281336437	1093.3420782170601
19x27	189.08141103767986	986.6406539363759
19x29	311.30430449963256	892.7524684928068
19x31	415.2917649075165	804.4571150782369
19x33	343.88028440141784	720.5585680567539
19x35	246.75066362626035	654.7259655764386
19x37	133.31485288594055	608.3721311828804
19x39	21.480456233516012	588.3284881764607
19x41	58.45040632878471	596.1865899196323
19x43	157.63096142573045	627.3083133515768
19x45	279.4254999100834	675.758988101527
19x47	365.9633041713335	744.5806470759228
19x49	404.8704731145507	829.2869828955477
19x51	463.7062108706331	916.5888118453116
19x53	549.6710652744969	1017.8077814597412
19x55	649.6267928587921	1124.8382861549476
20x20	225.79743134057122	1356.6140497577046
20x22	83.33894647762229	1226.2155520135927
20x24	11.868024266911346	1117.1640210819537
20x26	113.44342202172851	1007.6377374830697
20x28	242.24642412221502	901.8074794544563
20x30	369.3554385683254	805.3714919215851
20x32	420.93621844645287	716.2017173953158
20x34	294.7589693291791	640.1801699521782
20x36	171.17388819560054	578.4542332803865
20x38	50.27325332619706	538.1248925667719
20x40	40.43575150779348	530.7470678204448
20x42	141.9084211736571	555.3132449347844
20x44	240.66611726622457	596.4137657700398
20x46	296.8386261927513	657.9501272892954
20x48	321.6658203788522	737.0200132967898
20x50	375.55240646280004	828.2941566858965
20x52	463.7664174991546	932.1825411366598
20x54	566.7958009724492	1042.6350655910246
21x21	151.52151662387743	1259.2565941856328
21x23	26.04611295375949	1145.3966998380952
21x25	59.10879799150047	1030.0228395525994
21x27	179.9457973946601	921.1509593980782
21x29	306.52120644418716	819.8092766003566
21x31	433.92312683239203	718.200445558202
21x33	352.5316014203547	629.8161080823511
21x35	222.1003601978168	555.2620732591051
21x37	95.60047071013815	502.4028761860344
21x39	0.31622776601712554	480.8963505787913
21x41	112.77131727527211	481.0091163377259
21x43	226.5114787378339	520.1000384541419
21x45	245.150443605554	576.1159084767577
21x47	247.43746684768652	648.9108567438213
21x49	297.98270084016616	746.668125742622
21x51	377.29395701495156	846.3711538090132
21x53	474.6592567305519	951.8926462579695
21x55	589.2943322313565	1067.8170302069548
22x20	233.60089897087295	1310.0854094294768
22x22	118.96171653099155	1188.7492124077307
22x24	61.66919814623846	1070.5101073787207
22x26	134.18569223281625	955.7189963582389
22x28	247.38587267667504	846.8109411196809
22x30	378.5870573593344	732.1619766144648
22x32	413.5290195379276	630.4766847394117
22x34	286.32053716071425	544.8820514570101
22x36	158.6917767245673	478.16198092278285
22x38	39.765814464184956	427.6079045106625
22x40	89.12485624111842	417.06598998240077
22x42	198.31515322839059	446.4209896499043
22x44	213.8328786693008	498.4452828545978
22x46	188.27745483726932	573.2995726494133
22x48	218.43390304620763	661.1456496113396
22x50	295.85586017518744	766.4317908333397
22x52	398.2865802409115	875.695380826004
22x54	511.8036439885909	989.9376596533746
22x56	638.4534830353737	1110.8787737642665
23x21	198.73947770888398	1225.476470602353
23x23	122.41323457861898	1108.4114759420347
23x25	117.80768226223613	988.392963350104
23x27	204.18582223063368	873.7032963197519
23x29	325.8027777659363	752.5887655286914
23x31	449.54626013348167	644.0216145441082
23x33	357.1549803656668	546.787600444633
23x35	232.40877780324914	458.5612718056332
23x37	127.50031372510405	394.4022439084239
23x39	81.37475038364194	363.2883840697358
23x41	170.03740764902304	375.6545221343674
23x43	209.33573512422555	415.9591927100542
23x45	134.74308887657259	485.5447456208337
23x47	140.69491817404077	575.0303122444941
23x49	209.94058683351366	680.3728757086076
23x51	312.1907750078469	790.5674417783724
23x53	430.9267339119265	907.1716761451498
23x55	550.8445606520955	1019.988298952493
24x20	260.77586161299496	1276.8560803786775
24x22	139.10747643458984	1150.1447256758602
24x24	45.42213116972816	1027.2204096492628
24x26	117.51838154093167	909.2232784085547
24x28	250.44232869065883	781.5920675134823
24x30	373.6397864253752	667.9361421573172
24x32	435.90173204519374	561.5846507873946
24x34	313.66882216758484	460.340667332357
24x36	205.47330726885184	373.6210379515584
24x38	137.77289283454846	320.27826963439156
24x40	159.99815623937664	305.6396734718843
24x42	243.46599351860183	332.84033709873574
24x44	130.60646997756265	404.83879507774463
24x46	72.83357742140625	491.8303874304637
24x48	123.88583454132295	595.8420092608444
24x50	232.42248170088914	710.9357284593316
24x52	351.17723445576615	822.5111853342788
24x54	469.5592081942386	933.1641066822065
24x56	595.8362610650682	1052.8917560699203
25x21	182.90798232991355	1198.465990339317
25x23	60.79490110198381	1077.1735329091593
25x25	38.48129415703176	953.5961461750985
25x27	170.20000000000027	826.7475067999901
25x29	300.90026586894214	704.5899303850431
25x31	428.0014135490676	589.0251352871115
25x33	400.78863506841105	472.7129467234843
25x35	294.23844072452505	371.5866789862088
25x37	220.03192950115218	291.56482984063734
25x39	196.8366327694111	245.60671814915813
25x41	245.15197327372272	261.89595262241073
25x43	165.97090106401163	316.5867021844096
25x45	46.56629682506433	403.4432054205401
25x47	42.58368232081405	513.6015673652098
25x49	142.9779353606705	618.8535287125704
25x51	270.7984674993568	735.5792343452882
25x53	401.13264639019366	857.0572909671794
25x55	527.7963338258427	975.3218802016085
25x57	656.5629444310729	1097.7880032137355
26x20	257.5951280595189	1255.899299307074
26x22	132.1989788160256	1127.779929773535
26x24	47.20264823079342	997.7020046085905
26x26	116.71113914275729	876.9449754688144
26x28	240.4521781976616	748.0924073936321
26x30	359.2039253683067	631.7644022893344
26x32	482.55790326135997	509.8406908044902
