	dist_type_ambigious	dist_type_portal
23x25	848.2279233790879	422.3512874373653
23x27	877.0880001459375	464.84358659661
23x29	926.4210759692377	416.33665464381113
23x31	983.5843126036526	401.29801893356
23x33	1055.410465174569	427.2215467412663
23x35	1137.5911436012502	485.46823788997773
23x37	1224.6936351594222	561.1948859353583
23x39	1320.5262776635686	654.3490276603154
23x41	1420.4162770117778	700.8093892065086
23x43	1524.0110563903402	703.4663460322745
23x45	1633.2468888689184	731.2859905673018
23x47	1740.2445029362973	775.4594315629928
23x49	1855.37949217943	840.4819212808803
23x51	1968.947426926377	915.0358298995731
24x22	786.2305259909463	297.03609208310024
24x24	782.8982628668936	338.28935839012115
24x26	806.3196884610965	422.2845486162143
24x28	843.429315354879	380.01685488935874
24x30	902.7093275246466	346.7476459905673
24x32	969.3011193638436	352.18725133087946
24x34	1051.9288046251038	403.19971478164507
24x36	1139.9814954638518	476.976320166945
24x38	1235.3387308750584	569.182378504465
24x40	1335.5371952888472	652.3834761855944
24x42	1436.792768634364	638.8162959724807
24x44	1548.1943159694133	659.4902880255323
24x46	1656.747083896634	697.5615385039517
24x48	1773.3196440574386	758.5524108458164
24x50	1886.7057269219279	830.5073750425098
24x52	2002.0166632673167	911.8436927456373
24x54	2120.3763463121354	1003.53517626439
25x21	744.1545336823527	242.32327581146626
25x23	725.8959154038542	259.4395497991774
25x25	734.2199261801601	333.33061665559603
25x27	769.161784022061	372.46697840211255
25x29	820.6153788468748	306.5948466624967
25x31	888.7656721543649	289.5983770672758
25x33	966.4402154298011	322.0846006874593
25x35	1056.0424091862978	393.83926924571665
25x37	1145.0983407550636	478.94614519797534
25x39	1247.9288841917235	585.9048557573149
25x41	1356.7376901965981	586.0822126630359
25x43	1462.702444108165	589.3617225439737
25x45	1574.3778517242931	622.772526690123
25x47	1690.3333783606122	676.9761664933263
25x49	1800.4739737080345	742.5319723756008
25x51	1919.738641065497	825.2675020864448
25x53	2037.6897555810601	915.0654293546447
25x55	2157.3158438207424	1014.8675036673509
25x57	2273.6992875048363	1114.7233064756474
25x59	2395.9509698656193	1207.1271059834587
25x61	2508.6684914511925	1284.7855073902415
26x20	693.360173358695	177.87897571101507
26x22	665.8629438555655	175.82792724706724
26x24	661.7869445675096	240.84094336304207
26x26	685.6158837133221	341.86596788800125
26x28	727.5983095087564	284.1895494208045
26x30	789.0803317787105	223.7864383737316
26x32	863.8144360914558	228.73517438295298
26x34	952.4302074167956	290.9372784639329
26x36	1049.9031622011623	383.9323508119629
26x38	1148.9286313779462	487.3602363755174
26x40	1255.5402422861641	530.0280181273436
26x42	1364.7294970066414	518.6815978999061
26x44	1476.68630385739	533.3912635205039
26x46	1592.2583364517204	581.5570565301397
26x48	1708.4853672185782	647.9060502881572
26x50	1824.1421243971095	724.5371557070071
26x52	1944.1482067990598	814.8142426344792
26x54	2066.0424971427865	916.0176854187915
26x56	2180.945953021303	1016.2472386186346
26x58	2299.0955025835706	1108.3138228859189
26x60	2412.602246537958	1184.499978894048
26x62	2526.022020885804	1268.7780932850317
27x21	619.7432532912317	114.94911917887828
27x23	605.248353983718	156.88075089060482
27x25	612.4648969532866	258.71345152504153
27x27	652.0560175322365	291.220964217894
27x29	704.5068133098503	198.24593312348173
27x31	781.4582522438417	163.4264360499853
27x33	865.7438940009913	206.1865417528504
27x35	965.239338195455	299.4624851296069
27x37	1063.6499659192398	402.5931569214757
27x39	1173.1453660991892	491.09209930521183
27x41	1282.23580514662	465.07790745207404
27x43	1396.2459131542696	467.42149073400526
27x45	1509.3393322907878	502.3349679247904
27x47	1627.2989430341313	565.4975243093465
27x49	1743.4308159488291	641.547823626579
27x51	1862.6151642247523	728.5023335583767
27x53	1981.2394327793902	824.8833190215448
27x55	2103.294125889197	931.9698385677511
27x57	2218.0558378904716	1027.9761183996447
27x59	2327.9765570125487	1098.4889849242916
27x61	2444.6196043556556	1185.3627335124052
28x20	585.8377676456171	71.91307252509795
28x22	554.372167411027	71.54369294354315
28x24	549.1151154357344	176.65392721363426
28x26	573.3451403823003	295.8348356769364
28x28	626.1033860314124	202.95381247958812
28x30	694.2011956198287	116.85760565748372
28x32	779.5147208359824	123.57750604377776
28x34	875.2956357711375	210.01630889052396
28x36	981.0326192334279	321.5991293520553
28x38	1086.0002946592601	432.8177907618862
28x40	1192.8753581158426	414.4210660668684
28x42	1311.995525907006	401.653407803295
28x44	1427.5770837331343	424.9208514535381
28x46	1545.325447923511	480.77972087017156
28x48	1665.4871779752616	557.7948906184065
28x50	1782.3235536792977	643.3282599109104
28x52	1902.4894901155171	739.6392769451877
28x54	2020.6989013705133	846.8598762487215
28x56	2133.4217820206113	943.8773755101878
28x58	2249.2059443279086	1018.5694772571971
28x60	2363.412029249238	1100.1127305871887
29x19	557.8584856395033	93.4927269898573
29x21	516.8474629907743	13.300375934536548
29x23	491.40233007180564	98.18884865400962
29x25	503.4308294095622	226.12032195271627
29x27	545.6022360657992	238.75845534765864
29x29	612.7603773091076	120.47937582839609
29x31	695.0861960936928	46.79337559954363
29x33	790.0898683061314	126.17844506887855
29x35	891.1657814346329	233.02242381367506
