gene_id	gene_biotype	gene_name	species
PBANKA_0110800	protein_coding	PBANKA-0110800-pb	p.berghei
PBANKA_0110900	protein_coding	NCS6-pb	p.berghei
PBANKA_0111000	protein_coding	P12-pb	p.berghei
PBANKA_0111100	protein_coding	P12p-pb	p.berghei
PBANKA_0111200	protein_coding	NOG1-pb	p.berghei
PBANKA_0111300	protein_coding	PBANKA-0111300-pb	p.berghei
PBANKA_0111300.1	protein_coding	PBANKA-0111300-pb.1	p.berghei
PBANKA_0111400	protein_coding	PBANKA-0111400-pb	p.berghei
PBANKA_0111500	protein_coding	PBANKA-0111500-pb	p.berghei
PBANKA_0111600	protein_coding	ROP14-pb	p.berghei
PBANKA_0111700	protein_coding	PBANKA-0111700-pb	p.berghei
PBANKA_0111800	protein_coding	PBANKA-0111800-pb	p.berghei
PBANKA_0111900	protein_coding	PBANKA-0111900-pb	p.berghei
PBANKA_0112000	protein_coding	PBANKA-0112000-pb	p.berghei
PBANKA_0112100	protein_coding	ApiAP2-pb.1	p.berghei
PBANKA_0112200	protein_coding	MyoE-pb	p.berghei
PBANKA_0112300	protein_coding	PBANKA-0112300-pb	p.berghei
PBANKA_0112400	protein_coding	NAR1-pb	p.berghei
PBANKA_0112500	protein_coding	MFR1-pb	p.berghei
PBANKA_0112600	protein_coding	PBANKA-0112600-pb	p.berghei
PBANKA_0112621	protein_coding	PBANKA-0112621-pb	p.berghei
PBANKA_0112641	protein_coding	PBANKA-0112641-pb	p.berghei
PBANKA_0112661	protein_coding	PBANKA-0112661-pb	p.berghei
PBANKA_0112661.1	protein_coding	PBANKA-0112661-pb.1	p.berghei
PBANKA_0112681	protein_coding	PBANKA-0112681-pb	p.berghei
PBANKA_0112701	protein_coding	PBANKA-0112701-pb	p.berghei
PBANKA_0112721	protein_coding	PBANKA-0112721-pb	p.berghei
PBANKA_0200400	protein_coding	PBANKA-0200400-pb	p.berghei
PBANKA_0200500	protein_coding	PBANKA-0200500-pb	p.berghei
PBANKA_0200600	protein_coding	PBANKA-0200600-pb	p.berghei
PBANKA_0200650	protein_coding	PBANKA-0200650-pb	p.berghei
PBANKA_0200670	protein_coding	PBANKA-0200670-pb	p.berghei
PBANKA_0200700	protein_coding	PBANKA-0200700-pb	p.berghei
PBANKA_0200751	protein_coding	PBANKA-0200751-pb	p.berghei
PBANKA_0201000	protein_coding	PBANKA-0201000-pb	p.berghei
PBANKA_0201051	protein_coding	PBANKA-0201051-pb	p.berghei
PBANKA_0201100	protein_coding	PBANKA-0201100-pb	p.berghei
PBANKA_0201200	protein_coding	PBANKA-0201200-pb	p.berghei
PBANKA_0201250	protein_coding	PBANKA-0201250-pb	p.berghei
PBANKA_0201300	protein_coding	PBANKA-0201300-pb	p.berghei
PBANKA_0201340	protein_coding	PBANKA-0201340-pb	p.berghei
PBANKA_0201360	protein_coding	PBANKA-0201360-pb	p.berghei
PBANKA_0201400	protein_coding	PBANKA-0201400-pb	p.berghei
PBANKA_0201450	protein_coding	PBANKA-0201450-pb	p.berghei
PBANKA_0201500	protein_coding	PBANKA-0201500-pb	p.berghei
PBANKA_0201600	protein_coding	ETRAMP-pb	p.berghei
PBANKA_0201700	protein_coding	PBANKA-0201700-pb	p.berghei
PBANKA_0201800	protein_coding	TatD-pb	p.berghei
PBANKA_0201900	protein_coding	PBANKA-0201900-pb	p.berghei
PBANKA_0202000	protein_coding	PBANKA-0202000-pb	p.berghei
PBANKA_0202100	protein_coding	PBANKA-0202100-pb	p.berghei
PBANKA_0202200	protein_coding	PBANKA-0202200-pb	p.berghei
PBANKA_0202300	protein_coding	PBANKA-0202300-pb	p.berghei
PBANKA_0202400	protein_coding	PBANKA-0202400-pb	p.berghei
PBANKA_0202500	protein_coding	PBANKA-0202500-pb	p.berghei
PBANKA_0202600	protein_coding	PBANKA-0202600-pb	p.berghei
PBANKA_0202700	protein_coding	PBANKA-0202700-pb	p.berghei
PBANKA_0202800	protein_coding	AKLP1-pb	p.berghei
PBANKA_0202900	protein_coding	PBANKA-0202900-pb	p.berghei
PBANKA_0203000	protein_coding	CAF1C-pb	p.berghei
PBANKA_0203100	protein_coding	PIP5K-pb	p.berghei
PBANKA_0203200	protein_coding	BDP3-pb	p.berghei
PBANKA_0203300	protein_coding	RPB9-pb	p.berghei
PBANKA_0203400	protein_coding	ERV1-pb	p.berghei
PBANKA_0203500	protein_coding	SELB-pb	p.berghei
PBANKA_0203600	protein_coding	PBANKA-0203600-pb	p.berghei
PBANKA_0203650	protein_coding	PBANKA-0203650-pb	p.berghei
PBANKA_0203750	protein_coding	PBANKA-0203750-pb	p.berghei
PBANKA_0203800	protein_coding	PBANKA-0203800-pb	p.berghei
PBANKA_0203900	protein_coding	RRP36-pb	p.berghei
PBANKA_0204000	protein_coding	PBANKA-0204000-pb	p.berghei
PBANKA_0204100	protein_coding	PBANKA-0204100-pb	p.berghei
PBANKA_0204200	protein_coding	PBANKA-0204200-pb	p.berghei
PBANKA_0204300	protein_coding	ELO-C-pb	p.berghei
PBANKA_0204400	protein_coding	PBANKA-0204400-pb	p.berghei
PBANKA_0204500	protein_coding	CCp5-pb	p.berghei
PBANKA_0204600	protein_coding	PHIL1-pb	p.berghei
PBANKA_0204700	protein_coding	PBANKA-0204700-pb	p.berghei
PBANKA_0204800	protein_coding	PSOP24-pb	p.berghei
PBANKA_0204900	protein_coding	PBANKA-0204900-pb	p.berghei
PBANKA_0205000	protein_coding	PBANKA-0205000-pb	p.berghei
PBANKA_0205100	protein_coding	PBANKA-0205100-pb	p.berghei
PBANKA_0205200	protein_coding	PBANKA-0205200-pb	p.berghei
PBANKA_0205300	protein_coding	PBANKA-0205300-pb	p.berghei
PBANKA_0205400	protein_coding	PBANKA-0205400-pb	p.berghei
PBANKA_0205500	protein_coding	PBANKA-0205500-pb	p.berghei
PBANKA_0205600	protein_coding	MRE11-pb	p.berghei
PBANKA_0205700	protein_coding	Pb51-pb	p.berghei
PBANKA_0205800	protein_coding	eIK2-pb	p.berghei
PBANKA_0205900	protein_coding	NCR1-pb	p.berghei
PBANKA_0206000	protein_coding	PBANKA-0206000-pb	p.berghei
PBANKA_0206100	protein_coding	CCR4-3-pb	p.berghei
PBANKA_0206200	protein_coding	PBANKA-0206200-pb	p.berghei
PBANKA_0206300	protein_coding	CEN1-pb	p.berghei
PBANKA_0206400	protein_coding	IspD-pb	p.berghei
PBANKA_0206500	protein_coding	RAB5c-pb	p.berghei
PBANKA_0206600	protein_coding	PBANKA-0206600-pb	p.berghei
PBANKA_0206700	protein_coding	PBANKA-0206700-pb	p.berghei
PBANKA_0206800	protein_coding	PBANKA-0206800-pb	p.berghei
PBANKA_0206900	protein_coding	PBANKA-0206900-pb	p.berghei
PBANKA_0207000	protein_coding	SERCA-pb	p.berghei
PBANKA_0207100	protein_coding	PBANKA-0207100-pb	p.berghei
PBANKA_0207200	protein_coding	PBANKA-0207200-pb	p.berghei
PBANKA_0207300	protein_coding	PBANKA-0207300-pb	p.berghei
PBANKA_0207400	protein_coding	PBANKA-0207400-pb	p.berghei
PBANKA_0207500	protein_coding	PBANKA-0207500-pb	p.berghei
PBANKA_0207600	protein_coding	PBANKA-0207600-pb	p.berghei
PBANKA_0207700	protein_coding	PBANKA-0207700-pb	p.berghei
PBANKA_0207800	protein_coding	PBANKA-0207800-pb	p.berghei
PBANKA_0207900	protein_coding	PBANKA-0207900-pb	p.berghei
PBANKA_0208000	protein_coding	C-CAP-pb	p.berghei
PBANKA_0208100	protein_coding	PBANKA-0208100-pb	p.berghei
PBANKA_0208200	protein_coding	PBANKA-0208200-pb	p.berghei
PBANKA_0208300	protein_coding	NPT1-pb	p.berghei
PBANKA_0208400	protein_coding	MFR2-pb	p.berghei
PBANKA_0208500	protein_coding	PBANKA-0208500-pb	p.berghei
PBANKA_0208600	protein_coding	PBANKA-0208600-pb	p.berghei
PBANKA_0208700	protein_coding	LytB-pb	p.berghei
PBANKA_0208800	protein_coding	UBP1-pb	p.berghei
PBANKA_0208900	protein_coding	PBANKA-0208900-pb	p.berghei
PBANKA_0209000	protein_coding	PBANKA-0209000-pb	p.berghei
PBANKA_0209100	protein_coding	TRSP-pb	p.berghei
PBANKA_0209200	protein_coding	PIESP15-pb	p.berghei
PBANKA_0209300	protein_coding	ARP1-pb	p.berghei
PBANKA_0209400	protein_coding	PSTK-pb	p.berghei
PBANKA_0209500	protein_coding	PSH1-pb	p.berghei
PBANKA_0209600	protein_coding	PBANKA-0209600-pb	p.berghei
PBANKA_0209700	protein_coding	PBANKA-0209700-pb	p.berghei
PBANKA_0209800	protein_coding	PBANKA-0209800-pb	p.berghei
PBANKA_0209900	protein_coding	NT4-pb	p.berghei
PBANKA_0210000	protein_coding	VPS51-pb	p.berghei
PBANKA_0210100	protein_coding	PBANKA-0210100-pb	p.berghei
PBANKA_0210200	protein_coding	PBANKA-0210200-pb	p.berghei
PBANKA_0210300	protein_coding	PBANKA-0210300-pb	p.berghei
PBANKA_0210400	protein_coding	PMS1-pb	p.berghei
