	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
44x32	556.2226892171875	27.997857060853736	30.761664454317206	438.5527106289505
44x34	477.7098910426702	25.70486335307025	26.839150508166487	375.10363901194
44x36	425.0097528292735	150.17286705660246	151.84297810567335	272.8103553753045
44x38	404.06238379735373	122.57981073569978	122.34708823670458	197.529263654781
44x40	417.91302922976655	6.519202405202495	28.476305940202565	170.70002929115137
44x42	286.94712056405064	40.40853870161644	49.14926245631807	213.73032073152373
44x44	160.2550467224042	166.0550511125755	162.24450684075543	307.8682835239772
44x46	33.771585689748036	292.520631750993	35.895960775552346	419.0500208805627
44x48	0.5099019513592606	421.6162473150199	46.024558661653714	536.6763084020013
44x50	85.30052754819299	529.6019070962642	90.38462258592465	659.7640335756415
44x52	211.20002367424138	499.3878753033558	215.21721585412288	780.698309207853
44x54	340.60036699921545	499.07154797684075	344.2720000232378	906.6255070314318
44x56	468.5002668088888	525.9966729932804	471.86279785547833	1032.6018109610307
44x58	597.1000753642562	581.8767051532485	591.9960303920969	1159.162154316643
44x60	723.3001728190035	655.6056284078105	668.2014217285085	1283.9644621250234
44x62	851.8000939187554	746.5361344235122	760.9935610765707	1411.0065910547692
45x29	734.349542111929	111.74546970682962	111.69892568865637	359.6448943054801
45x31	640.3608748198162	0.499999999999909	3.4713109915417073	368.0117525297253
45x33	562.9929750893876	25.133443854752496	26.12833710743939	410.81490966127296
45x35	503.00546716710767	94.14085191881385	98.74462010661665	293.1485971312158
45x37	465.48509106092786	200.59553833522824	201.03624051399296	188.45362824843642
45x39	463.38365314283595	90.01560975741936	99.92802409734726	123.43342335040367
45x41	356.2744167071219	35.73597627041969	39.827879682453585	131.74923149680993
45x43	232.14000086154894	121.8432599695201	126.99519675956277	223.05107038523718
45x45	110.57033960334924	240.8800531384867	110.55134553681371	338.5867687905127
45x47	5.263078946776419	363.9391432643653	6.236986451805369	457.72316961237624
45x49	41.00792606314092	490.10514178082275	43.74985714262431	581.4184809584233
45x51	154.6560700392972	566.7296533621653	169.28230858539234	706.2326104053819
45x53	279.9760168300137	552.6039902136071	289.76399017131183	832.4958678576129
45x55	405.02998654420645	563.4556681762997	412.59749150958254	958.0309441766482
45x57	533.0199339611985	602.659978760827	539.5083409920559	1085.5023952069387
45x59	662.0632673695167	665.7880818999392	667.9580600606599	1213.7201366048105
45x61	789.9174260642691	744.3117223314438	757.0679890208013	1341.08148149171
46x28	815.8193243604862	88.03504983811814	91.02620501811522	324.5787577769065
46x30	724.7317917685136	76.57395118445972	78.40516564614869	304.2899439679198
