	dist_type_ambigious	dist_type_parasite	dist_type_portal
27x37	207.8540112675239	247.1555987632084	603.2103198719332
27x39	125.70890978765168	174.07564447676208	714.6090749493741
27x41	5.185556864985496	173.854220541234	794.241329823625
27x43	83.20054086362687	243.79649300184806	884.4241799046429
27x45	205.35846707647553	349.57416952629694	982.1324248796597
27x47	130.40034509156774	465.74869833419854	1085.7710854503357
27x49	125.73217567512286	588.6056234865587	1195.3642875709481
28x16	263.7759086800762	182.5615786522452	484.5188644418293
28x18	139.8628256542817	232.7823232120514	386.3822071472753
28x20	21.021179795625052	325.1041217825451	284.0730363832512
28x22	61.62629308988178	388.6597483660999	179.74704448196084
28x24	184.40729378199788	461.97299704636436	126.91906870127917
28x26	312.10384489781603	502.4545850124167	169.79225541820207
28x28	217.14976398789838	423.943416035678	187.73071139267554
28x30	98.29425212086407	337.08360980623183	255.74628052036255
28x32	41.21468185004008	278.3240018395828	325.1022146956246
28x34	57.19999999999982	264.68554928442904	413.94618007658903
28x36	122.19983633376943	241.91940806805863	518.5088234543364
28x38	194.3805803057496	253.76014265443652	631.7097513890379
28x40	74.71017333670153	220.00002272727156	709.415400171155
28x42	37.54903460809638	249.97865908913127	799.1555105234526
28x44	153.47833723363067	329.26220554445683	896.2412621610323
28x46	120.25976051863738	433.0854534615541	1001.4048182428523
28x48	65.18872601915146	549.1323793039346	1111.4368043213258
28x50	117.6241896890261	665.9869743470965	1222.2725759829516
29x17	203.13468438452344	148.92984925796418	403.23157118459824
29x19	77.51877192009697	240.43327556725566	300.9351425141302
29x21	1.9723082923314452	310.58056925699634	199.91870847922155
29x23	118.23810722436316	375.4081112602657	93.74566656651389
29x25	245.74704474316667	465.0374286011826	84.08929777326001
29x27	295.5206422570173	435.2533170465214	172.3219370828913
29x29	182.2955018644179	420.9230927378541	199.94111633178372
29x31	102.87297993156392	350.53765846196876	240.83573239866195
29x33	34.30524741202111	251.76467186640755	327.7435735449287
29x35	38.47661627534314	189.4055173430804	435.44488744271644
29x37	163.6705226972774	195.63087690852868	550.7093970507493
29x39	160.7914487776012	265.3874337642988	623.3667379640978
29x41	84.72124881043709	284.7646221004288	711.5851951804508
29x43	124.8564375593028	333.347461367265	810.8200355195967
29x45	160.42471754689174	416.41912780274646	916.1564768095021
29x47	34.430800164968254	519.3088483744527	1027.037526091428
29x49	35.81312608527782	630.7054621612218	1140.8744803877419
29x51	162.03224987637498	747.1346933451828	1257.751903198719
30x16	262.7004758275095	70.6508315591544	435.5294938348032
30x18	135.0003333329218	157.129532551968	319.27118567136614
30x20	7.510659092250141	235.55595938120487	213.5345639469168
30x22	71.77966285794339	291.9241682355197	125.34001755225653
30x24	188.11764935805485	381.39251434709615	9.982484660644069
30x26	311.7248305797919	388.75386814795803	83.22721910529017
30x28	267.7844282253916	374.1599925165703	148.12595991250134
30x30	144.5532773755059	381.92440351462204	159.20945323692308
30x32	20.500975586542037	266.5383462093211	239.5864979501142
30x34	20.920086041888467	163.08356753517464	351.43683643010445
30x36	108.10462524795143	124.85435515031105	470.7687436523373
30x38	195.49531963706946	178.89891000226916	537.7464272312741
30x40	106.74848945067068	283.55324015076945	625.3057172295802
30x42	124.86108280805497	356.8519160660345	726.7701768784957
30x44	162.33742636865952	416.7522525434027	831.9404065196018
30x46	100.39691230311824	502.7225278421489	943.1160798120238
30x48	6.158733636065457	603.6200212053941	1057.5454269202812
30x50	100.41274819463955	713.5206514180236	1176.9138116276827
30x52	225.28031427534907	827.4824590285889	1294.3781595808855
31x17	206.08469132858932	73.3982288614652	357.75815853729995
31x19	86.22227090491191	172.8001157407017	237.1397899973767
31x21	51.0908993853116	206.072026243253	127.29053381929042
31x23	153.90451585317456	297.8113496829831	60.8210489879941
31x25	267.23652444978404	359.90604329463537	0.40000000000009095
31x27	337.71946938250375	318.08590034768906	101.00019801960786
31x29	210.7894209869174	322.6691494394838	84.17707526399322
31x31	86.64560000369312	305.86902425711554	157.03458217857627
31x33	30.64000652741423	183.28232320657622	270.5428062248194
31x35	94.7563190504993	79.65651260254864	391.0372872246329
31x37	192.01012994110508	93.6370119130252	454.0245477944999
31x39	113.33004897201762	201.37750619172948	539.5246982298399
31x41	40.66054598748017	322.4268599233012	638.3895989127643
31x43	132.9815400722971	434.04825768570964	749.0709512456078
31x45	76.27424204802031	501.3090463975292	859.9025293601596
31x47	63.44265126868531	589.3021041876572	975.9361505754363
31x49	81.13772242305085	688.6566125435814	1094.6509626360362
31x51	179.09743158404055	796.5386933476618	1216.2436803535716
31x53	300.1645215544303	910.7291254813366	1337.4234707077635
32x14	402.93572688457397	95.13148795220224	534.8564293340784
32x16	283.37424018424815	23.02086010556517	410.1828372811324
32x18	172.96473629037803	128.3573137768158	284.7837776278697
32x20	100.97271908788063	125.41646622353835	157.17725662448743
32x22	135.33018879762201	210.70799700058842	41.43742269977701
32x24	235.98241459905458	323.24742845071495	27.736257858622725
32x26	312.5474683948021	280.2162022439099	42.40188675047337
32x28	287.2855374013804	259.7764038553154	39.41801618549544
32x30	169.56346894304812	289.942701235951	71.96367139050079
32x32	87.7494729328903	233.94095408884658	193.59124463673484
32x34	24.532631330536056	105.61273597440766	317.2520291503271
