	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
13x35	384.1515586327874	2.3706539182259223	3.2893768406798034	246.9980161863652	977.6236596973293
13x37	405.77087130546965	84.536382699995	83.60143539437594	165.2367997753526	946.1251502840413
13x39	464.08720085777	213.71834268494624	212.7339418146529	145.01286149855815	929.6738836817995
13x41	550.0151725179953	257.0110698005049	256.07828881027774	214.07916759927878	934.39247107412
13x43	647.4411556272895	294.20749480596174	293.73193561477103	317.3919501184617	955.2623985062952
14x24	752.3715172705569	350.11955101079394	349.2519148122168	160.8120020396488	1319.1315703901562
14x26	641.4845672344736	365.4778379053918	364.8367443117536	144.99534475285765	1226.2548878597793
14x28	535.2071841819761	424.9290882017847	424.35872796491424	215.24574327962932	1139.8241662642529
14x30	440.7875905694259	320.55966683286897	320.0832704156841	322.48736409354103	1062.4137141434119
14x32	365.91192929446817	201.18235509109647	200.835106492864	389.02845654270584	995.113229738204
14x34	324.50568562045254	87.82903847817079	87.22121301610065	267.9782453857029	939.529637637898
14x36	335.1207841957882	54.89571932309498	54.76440449781247	155.34715961355693	901.5779167659332
14x38	387.92748033620927	163.8948748436023	163.5351032653236	87.46044820374514	880.680379025217
14x40	464.184327611349	199.40634393117983	199.04795904505022	128.25322608028242	870.3392959070618
14x42	563.1072721959822	213.89436645222798	213.3541656495134	236.15122273661856	884.6781335604492
15x23	782.3087497912827	293.0770888350025	292.8989245456527	246.1482886391859	1326.6566172148691
15x25	666.6623208191685	294.5835195661834	293.7748287379298	198.88803382808135	1230.3052669967726
15x27	553.7693563208423	342.0095027919546	341.48279605274405	223.38419818778587	1137.9070700193404
15x29	452.9529114598998	399.52314075657716	398.90542738849746	297.66010817709537	1058.5187480625932
15x31	355.8598741077727	280.7419633756236	280.4023002758715	404.9736411175425	979.4301659638627
15x33	285.7798103435579	174.10715091575068	173.56526150125774	316.935482393499	913.9834243573567
15x35	266.06179733287524	92.89176497408152	91.92105308361083	193.45872944894455	866.2142229264074
15x37	305.21746345843326	140.82080812152753	140.72277711870268	69.50179853787931	831.5020745614528
15x39	380.584024888066	162.56260332561095	162.00061728277439	44.69004363390131	816.1594207016175
15x41	474.9620721699789	139.42012049915888	138.5386949555971	153.76790952601294	816.9403711410031
15x43	585.40532966484	197.0223337593989	196.32727777871312	280.49278065575953	836.8657000976917
16x22	823.3270613796195	260.5710075967775	259.96124711194915	326.64300084342847	1345.613038729931
16x24	705.2534579851416	235.21913187493894	234.45818390493412	266.71790341107607	1245.3199749461983
16x26	586.311180176534	260.29713790205204	259.83725675891804	256.57006840237636	1146.530418261984
16x28	473.475712154277	336.38200011296686	335.6814710406281	301.55041037942584	1056.0343034201112
16x30	364.59319796178306	366.4786487641537	364.3770025673957	386.88318650466067	969.592904264465
16x32	270.85896699204903	253.23463428212173	252.65268650857433	373.853152989245	896.965205568198
16x34	213.83388412503749	167.47993909719446	166.60471181812346	247.0771741784333	836.0003169855856
16x36	222.4449819618325	154.2017185377648	153.5160252221247	120.84523159810644	789.7666554115841
16x38	291.01534323811865	158.28749160941277	157.6817364186478	6.044005294504603	765.3948850103453
16x40	391.6240671868881	85.4868995811638	85.07414413322054	90.51082808150672	752.8699821350297
16x42	506.3941251633948	114.62203104115711	113.91755790921778	217.65709269398965	769.2664102896993
16x44	625.9681781049258	223.85298747168875	223.45728898382356	326.415930983768	804.3180714120504
17x21	871.6073485234047	238.86642710937826	238.74624604378585	417.70751728931094	1367.5961282483947
17x23	746.4558995680856	184.24605830247762	183.98046091908776	344.24934277351923	1260.7278096401299
17x25	628.164118682371	182.2990948962719	181.58788505844754	312.60127958791225	1161.0321098057536
17x27	503.039660464262	248.765954262234	248.06470929981134	330.46769887539705	1058.108548306836
17x29	389.1821681423753	355.17933498445535	354.6707769185388	383.9890102594083	970.9229423594851
17x31	278.5760937338304	344.26710560261176	278.3110490081195	446.8038048181772	883.9592977054994
17x33	182.1603963544216	256.5186348006709	181.9687061008018	321.58826160169457	809.8893813355006
17x35	154.73667955594752	202.91338053465083	153.85655657137264	194.94830083896602	759.691016137482
17x37	208.55946394254093	186.91883265203623	186.34819559094186	88.46044313703153	717.6695966808123
17x39	308.29313972256983	67.26261963379058	66.74923220532196	68.43288683082145	697.8551855506985
17x41	425.6336100450718	31.092925240318042	30.587088779418124	167.68473395035136	705.001113474298
17x43	548.472323823181	145.9585215052553	145.49188980833287	262.0055152091268	730.9811830683469
