	dist_type_4	dist_type_central	dist_type_parasite	dist_type_portal
16x40	435.7516035541349	625.6563433707037	110.35152921459677	436.19887666063505
16x42	421.51393808508857	625.8057206513854	10.630145812734765	422.43981819899494
16x44	439.07713445361725	653.4809331571961	108.71214283602382	439.7709972246918
16x46	488.92004458806974	702.6179687426164	233.79394774031292	489.55409302752247
16x48	540.5979097258885	765.6012669790978	357.36885706507786	540.9433426894168
17x29	229.69059623763425	946.5218275348961	381.7532842032928	230.03123700923734
17x31	195.58601688259822	844.2206405910719	339.0883218278093	195.65553914980276
17x33	233.5255018193945	759.1888829533793	341.7129789750457	234.06400833959933
17x35	318.6893785490818	679.068567966446	388.46122071578793	319.1593959137033
17x37	365.12311622246006	612.0111845383219	302.05577299565033	364.5439479678686
17x39	395.15628553776025	579.77813860131	183.41016874753674	395.52659834706435
17x41	370.5060998148343	565.1362402111547	89.00207862741186	370.77104795277626
17x43	368.8881808895481	581.0298529335648	84.8969375183817	369.56743633604947
17x45	407.22634983507635	620.9802734386978	181.87825598460125	407.69412554021426
17x47	460.33302075779886	682.8395785248539	297.15465670253275	460.7709734781479
17x49	529.1449423362185	759.643844179626	430.54287823630307	529.7755845638792
18x28	236.4842700899998	974.8826647345822	382.22272302938757	237.00888169011722
18x30	150.88571834338728	862.1128116435807	380.66323699564157	151.2696268257445
18x32	156.320504093353	761.6952802794563	390.1759859345525	156.79445143244067
18x34	244.5410599469956	670.375663341085	412.81537035338215	244.9574044604492
18x36	298.78636180388133	599.651974064957	383.2981737498889	298.0098823864737
18x38	343.4181853076509	545.7043613532879	273.02573138808714	343.103847253277
18x40	324.40064734830594	513.7682162220624	168.74057010689503	324.94396440001765
18x42	317.5459179394375	523.1504659273468	114.50069868782461	318.5030769082145
18x44	333.8254034671419	548.5154510130048	165.56146894733718	334.4156096835195
18x46	388.2889259301636	608.6424976946648	268.2660805990949	388.80032150192477
18x48	448.7715343022549	678.7360974635134	387.13626799875004	449.38167519381557
19x29	145.03189304425393	883.7331327951892	323.16969226708113	145.6202252436107
19x31	85.83431714646521	775.2094749162961	349.7360862135904	85.96935500514105
19x33	154.2806857646155	674.7929534309021	416.3579349550096	154.7143496900014
19x35	238.3406176043017	595.1670773824774	465.66559890118566	239.30033430816593
19x37	265.74561144071595	518.320875520174	352.121186525321	265.3294744275501
19x39	284.4493803825206	465.08649733141027	254.85888252128842	284.8460110305213
19x41	266.67667689544936	459.79609611217865	182.30866682634715	266.90569495610225
19x43	260.0214221944031	473.6495962206661	186.96400723133857	260.65291097549635
19x45	305.95315000829777	520.9433078560468	253.54749062059392	306.5520021138338
19x47	361.37351867562194	589.8823781060087	349.3502826676977	361.74911195468064
19x49	450.63103532712887	683.0000951683683	463.35831707222025	451.26591938678473
20x28	182.4645170985304	922.9542242169973	269.22871317896227	182.77992231095814
20x30	46.03531253288044	784.5550649890673	278.7978658454902	46.7402396228344
20x32	71.2492105219421	693.2073643578807	335.42040784663067	71.78335461651278
20x34	165.0281491140225	591.0095515302606	424.55846476074436	165.42094788750322
20x36	191.92897123675718	508.88538002186675	435.21779605158605	191.28755840357198
20x38	257.0638053091101	437.8531717368276	340.5430956575099	257.10737056723997
20x40	218.90529915924822	405.93463759575866	261.9498616147754	219.3589068171155
20x42	197.10002536783188	405.08470719097744	234.9000212856526	198.1000252397762
20x44	235.43043558554612	448.0503208346134	260.45784687737864	235.92899355526438
20x46	280.96499782001314	508.1638810462625	339.48214975164774	281.28122937729063
20x48	366.14404269358283	598.5521364091856	439.1344441056751	366.7684010380395
21x29	95.90020855034683	827.7729459217666	204.61976932838118	95.90333675112674
21x31	12.394353553130678	713.4678829491907	250.33901014424407	0.14142135623718088
21x33	84.03148219566268	605.0356105222236	340.3555346986441	84.05884843370133
21x35	116.92476213360426	505.56740401256064	440.8321676103049	117.8006791151899
21x37	174.18005052244067	420.26597530611485	423.3451192585076	174.20703200502552
21x39	187.46159606703412	360.04367790588935	341.5846161641358	188.02034464387054
21x41	148.82634175440825	341.8758254103379	297.0772290162949	149.8001335112887
21x43	154.5197721976057	369.20422532793407	294.56910903894874	155.10370724131633
21x45	204.37771404925735	428.6691614753737	341.88484903546106	204.8249252410458
21x47	277.53963680887097	509.7187950232952	418.97285114909295	278.2467430177755
21x49	382.3055322644443	613.2423012154333	450.23451666881346	382.82283108508574
22x30	44.418464629025415	743.5693646190648	164.50167172402854	44.80178567869792
22x32	2.8844410203712165	629.3198868619997	247.721860157718	0.5656854249493666
22x34	70.68755194516184	515.6534980003527	361.75147546347347	71.1907999674112
22x36	86.2671432238257	416.56118398141683	478.3321231111291	86.28105238115756
22x38	163.36881587377704	331.7441333316986	437.52459359446283	164.03831869413946
22x40	104.47372875512768	285.6983724139849	372.4118150649895	104.91691951253615
22x42	82.20875865745674	292.40909698571267	349.8000571755244	83.20024038426794
22x44	127.08925997109264	343.95796254775087	367.96369386122893	127.58636290763982
22x46	198.980049251175	431.2338808581719	426.20541995615207	199.6874057120279
22x48	292.4190486271371	522.8882289744147	397.13184208773765	292.91039585511464
23x29	125.62364427129158	783.3370283600793	88.73612567607375	126.0718049367106
23x31	26.37877935007596	664.8809216694368	164.33818789313713	27.01184925176344
23x33	12.870508925446806	544.2735066122544	279.2487242585007	13.223085872821281
23x35	5.646237685397003	432.86080903680784	400.9567058922947	4.204759208325537
23x37	85.76852569561855	330.48425075939684	512.8737076513088	86.45021688810259
23x39	110.9414259868689	252.14004045371263	447.142482884371	111.42890109841302
23x41	31.80141506285503	225.03584158973405	411.9826816748493	32.80137192252761
23x43	52.99905659537724	261.37884382635104	410.9745734227359	53.90083487294051
23x45	108.41166911361539	340.83821675393165	377.43647147566435	109.10769908672819
23x47	214.7817496902381	442.9577857990535	348.7325622880661	215.20083642960148
23x49	331.94832429159834	553.116705587528	336.27383186920747	332.35867673343523
24x28	218.78274612043802	846.129830463387	56.07040217440913	219.26807793201462
24x30	113.98570085760744	709.004612114759	77.69131225561854	114.01727939220429
24x32	31.126355392175252	583.3841358830387	200.3108833788122	31.60775221365794
24x34	29.553003231482403	464.8145651762643	324.77712357861685	29.876077386430953
24x36	2.968164415931362	346.7768879265165	454.52701789882667	3.606937759374549
24x38	99.57072863045659	245.03903770623947	526.7013670003146	99.86656097012667
24x40	36.71103376370634	177.02005536096755	475.62432654354416	36.70013623952896
24x42	30.59297304937844	178.10370574471477	391.63417879444546	0.36055512754632324
24x44	27.10608787708017	258.9647466355217	348.11139021870554	27.76220452341623
24x46	135.04495547779626	359.6719894570606	316.77174747758016	135.4545680292842
24x48	258.4351756243723	473.4303961513247	282.46971519085014	259.1430878877539
25x27	255.3144335912093	899.210464796757	95.39528290224827	255.7621160375399
25x29	194.31340663989175	754.8073264085343	5.412947441089903	194.31546515910648
25x31	111.85405669889651	632.6564075388785	129.20654008214936	112.17276853140406
25x33	15.77244432546819	507.8066265814179	257.6000194099375	15.867261893596915
25x35	22.10701246211273	383.3115182198413	384.63790764821954	0.5656854249490451
25x37	14.894629904767948	265.52297452386256	512.1014059734657	15.570806016388776
25x39	108.70459971868722	151.56942303776162	482.3441613619883	108.94994263422085
25x41	10.427847332983044	112.41325544614392	386.22679865591914	0.5830951894846237
25x43	8.495881355103759	165.46353072505133	315.5924270320816	0.42426406871154265
25x45	69.00507227733348	278.8937073510265	273.68394180148726	69.66562997633781
25x47	197.80318500974667	399.1116385173454	241.02551732129942	198.6688198988459
25x49	307.49312187429507	513.686694396497	219.8954751694542	308.0337968470344
26x26	169.18206169685953	965.5603399063156	181.85150535533097	169.8987051157247
26x28	234.66167134834794	837.1817604319862	76.04538118781431	235.3374173394449
26x30	203.57730718329105	696.4655913970195	85.56003740064634	203.60628673987463
26x32	100.64442359117554	566.1767391901576	198.29094785188772	101.21709341805844
26x34	2.5455844122711855	434.8959415768325	325.9924539003935	2.9120439557118702
