	dist_type_central	dist_type_parasite	dist_type_portal
17x15	1565.1092741403074	314.49108095461145	1040.2042299471773
17x17	1507.030938633975	201.69841347913473	932.2045108236712
17x19	1382.4305588346924	132.97838170168865	839.3659809642037
17x21	1254.503256273175	140.59736839642483	745.7592238785919
17x23	1124.5939089289075	233.90480969830452	659.0801620440415
17x37	231.94794674667824	225.38378379998863	134.43530042366075
17x39	105.41736099903056	314.96034671050285	71.67998325892657
17x41	0.5385164807135517	304.8358410685987	146.92817973418192
17x43	62.404166527564584	300.8502617582375	262.32933499706076
17x45	43.82236871735704	316.53656976722306	300.0803225804718
17x47	76.16153884999989	330.1814349717438	257.4889900558857
17x49	180.0057776850512	254.87698993828351	248.57127750405903
17x51	301.932608374783	201.1121577627768	120.9929750026835
17x53	405.9752948148446	121.31092283879474	4.50998891351187
17x55	489.2325622850549	137.47327012914204	93.70005336177803
18x14	1553.2556067820904	368.3734246657866	1077.3063538288445
18x16	1489.1751542380769	243.0231264715356	963.6630323925474
18x18	1440.6758171080683	129.05196627715512	859.6263199786288
18x20	1332.1631281491016	64.40031055825726	759.6563696830297
18x22	1190.22563407112	152.10739626987237	659.8265378112643
18x24	1066.4453103652338	266.2637789861776	578.2534046592374
18x26	939.4682804650724	389.90005129520057	506.0767234323269
18x36	302.4762470013139	153.42190195666333	143.41575924562798
18x38	184.12422437039595	229.3524144193823	52.508380283531615
18x40	64.18286375661319	277.2162332909095	69.9488384463962
18x42	63.728957311414035	244.3812185909547	186.67131541830443
18x44	113.65707193131463	274.2118341720503	314.197915333632
18x46	80.43985330667897	331.5547767715008	325.7569185757994
18x48	169.14993349097148	234.83291932776356	317.1865381758814
18x50	261.82515158021	184.11466535830314	197.93940992131917
18x52	321.2138228657042	197.37000785327027	86.04952062620686
18x54	409.0825833496214	173.01664659795034	56.99438568841681
18x56	517.0316237910404	216.47286204048785	169.0233711650553
19x13	1536.3576959809848	425.41623147218996	1109.4324540051998
19x15	1466.8993830525665	292.2605002390846	988.7901698540494
19x17	1410.691777107955	173.86457373484683	883.2695454955979
19x19	1365.0558083829394	42.12790049361578	771.907999699446
19x21	1273.739392497539	56.26402047490028	674.3690680925394
19x23	1131.632139875852	194.82222665804852	575.8386058610519
19x25	1003.7133505139801	323.1050757880476	489.27935783149474
19x27	878.2465542203965	449.74638408774337	417.6237660861746
19x29	753.8463636577417	374.43923405540716	381.1964585354904
19x35	385.7242797647042	79.10006321109981	189.1951902137046
19x37	261.17966995920636	148.5800121146852	57.643906876616064
19x39	151.16629915427583	264.6515633809859	0.2236067977497756
19x41	87.40051487262541	197.82833467428256	120.97706394188957
19x43	149.06978231687373	199.5339570098282	247.11980899960278
19x45	136.9883206700483	259.20493822456416	337.6225703355748
19x47	152.1943822879151	254.19899685089223	366.4998362891858
19x49	197.56867160559636	159.01503073609098	281.4003909023581
19x51	239.4363798590349	127.98507725512377	170.2896943446665
19x53	326.9472281576951	190.06969774269635	95.21496731081744
19x55	430.22000185951373	235.74827676994798	137.58724504836923
20x14	1449.7141683794084	359.29983300858896	1023.980356256896
20x16	1382.7210564680063	232.75893108536124	905.6517653049652
20x18	1333.55148756994	112.92816300639967	798.8952184110252
20x20	1286.6998756508838	20.903827400741804	688.3940513978893
20x22	1206.8740655097365	127.11652134950833	581.8623634503265
20x24	1075.7366313368714	260.0947904130339	487.73199607981417
20x26	951.0849909445528	385.07851147525747	408.00424017404515
20x28	826.8025701459811	401.1651654867356	341.21531325542804
20x30	699.0904447923745	298.2469614262649	321.30024898838775
20x32	585.1688645169015	179.4614164660469	339.8411393577887
20x34	455.624626200121	47.26520919238572	242.82545171377726
20x36	342.8014585733264	67.29517070340188	120.56301257019088
20x38	237.24006828527064	186.01464996069564	11.447707194018992
20x40	159.92338790808543	184.06056068587841	51.28635296060763
20x42	152.26204385860595	133.47333066946365	177.3655265264366
20x44	166.0496913577376	179.17951891887654	257.4468877263815
20x46	103.02567641127138	275.7975525634702	351.55979576737747
20x48	129.6000385802411	165.83597317831845	366.99232962011615
20x50	150.48737488573573	68.2528387688012	260.91310814138876
20x52	235.18205713871973	98.57890240817257	175.96022277776302
20x54	348.4182113495218	216.4496477243611	155.58872067087648
20x56	456.49326391525204	307.50235771453873	216.62248267435234
21x15	1369.0938061360148	306.3224608153962	943.6209249481486
21x17	1311.1060102066497	188.4573426534503	828.7976652959393
21x19	1257.6795975128164	92.9266915369314	714.5075017100938
21x21	1212.95758375963	102.3606369655837	592.9607912838756
21x23	1151.6844012141519	207.24758140928944	494.9872321585678
21x25	1026.2969794362643	329.05666685238293	410.64521183133246
21x27	901.9059208143606	431.8801801425944	324.5163940388835
21x29	778.400167009232	321.78878165653947	275.6099054823683
21x31	659.1992490893781	216.96462845357976	266.2582393091337
21x33	543.1702863743561	113.36119265427656	315.3860491524632
21x35	425.3463764980252	6.718630812896399	200.51319158598992
21x37	318.8848381469399	126.4291896675764	86.48664636809553
21x39	235.54371144227122	205.75140339740065	0.20000000000027285
21x41	200.30421862756677	101.21748860745329	116.06282781321534
21x43	197.3689438589566	86.20962823258202	163.9454177462731
21x45	78.74884126131617	191.47475029360936	265.3755452184697
21x47	58.434664369704436	214.3996501862817	342.93266102837157
21x49	77.79389436196116	84.47182962384557	343.4878309343725
21x51	152.1147264402762	15.795252451290688	256.6329869677706
21x53	261.6701931821813	136.39901026033894	214.27433350730553
21x55	382.19330187746624	264.0418906158643	235.95194425984306
21x57	501.806466678141	357.45703238291446	317.9215783805815
22x18	1227.4664679737689	173.38895581899115	742.4285352813426
22x20	1180.0700021608886	131.50973348007363	627.5920729263554
22x22	1143.8317402485382	182.69660642715866	514.1350503515587
22x24	1107.9916335424198	290.13214230760445	406.9489648592314
22x26	984.4866124026269	405.5074475271694	324.6109825622045
22x28	869.0575872748592	362.05868308880514	246.46072709460208
22x30	741.0981379007774	232.4169744231257	200.10009994999993
22x32	629.0084657617895	135.43799319245676	232.22155369388062
22x34	515.0456775859786	89.66074949497131	289.20278352740644
22x36	410.9385598845647	94.88150504708491	176.53469913872456
22x38	318.6271331823453	203.13653044196698	69.36173296566324
22x40	267.00833320329167	127.00177164118597	63.753039143244195
22x42	254.10883495069552	11.853269591129461	80.51645794494445
22x44	129.00387591076472	112.16149071762558	180.94695355269175
22x46	2.3021728866440703	242.26204820400608	282.91005637834775
22x48	15.600320509527913	154.77134747749628	300.86437143669906
22x50	67.53369529353492	33.376638536557145	341.4021089565791
22x52	180.75978535061412	73.09240726641902	282.81813944653567
22x54	305.1109306465438	198.30905173491217	267.4862239443373
22x56	436.284597481965	290.5526630406267	318.84298643689846
23x17	1203.5096717517476	264.6003212394121	786.9013470569229
23x19	1144.7029352631187	198.6167414897344	658.9608561970884
23x21	1104.4424702083852	200.417988214631	545.9677371420403
23x23	1072.382939998581	268.3597771649097	430.4501945637846
23x25	1056.6709468893332	369.1513104405835	326.640612906601
23x27	949.3500092168326	408.8041584915691	242.69330439878206
23x29	822.5141032225524	275.9569712835678	158.9120826117383
23x31	708.3416689705612	152.67390084752546	155.83747944573543
23x33	596.4562431561932	50.33140172894039	223.83576568546866
23x35	494.3953984413689	95.88435743123071	215.49897911591142
23x37	407.5656634212454	179.95880084063717	112.92993402991041
23x39	339.27832232549156	171.1425721438121	4.666904755831149
23x41	316.1001423599805	44.32719255716503	19.258764238652542
23x43	199.7818059784223	57.12941449026074	105.19776613597845
23x45	87.8936288931116	182.05847961575427	232.65487314904883
23x47	17.910890541790277	229.9726070644064	227.24304169765037
23x49	0.6403124237430576	118.82344044842304	281.17718613002745
23x51	99.86435800624793	71.09774961276908	358.4219440826693
23x53	231.7849218564487	151.39831571057871	322.2372573120622
23x55	356.3448470232172	211.39264414827656	344.90730638825295
23x57	487.31883813372133	262.94381529140395	401.87989499351687
24x16	1189.295539384555	348.75647664237005	836.2993961494889
24x18	1124.7833080198159	270.1719637564193	706.523382486383
24x20	1070.4037088874456	249.30002005615663	586.768864204637
24x22	1028.9738043312861	280.53714549057497	461.92714793568894
24x24	1003.2216754037961	354.6140578149717	346.95580410190564
24x26	997.3190161628323	450.73719615758375	243.64732709389594
24x28	895.9056423530327	325.4002458511672	148.48137930393833
24x30	790.0909884310795	204.90039043398633	86.60005773670122
24x32	680.7467958059003	75.60026454980158	138.4637136581277
24x34	580.9372599515374	13.903237033151754	232.17859505130934
24x36	489.7204100300497	141.8953135237385	134.897294264933
24x38	420.94670684066426	209.9817373011278	57.73673007713514
24x40	380.50829163107596	112.16220397263922	0.3999999999996362
24x42	283.5786487026128	35.61811336946441	39.60113634733262
24x44	173.8372802364324	137.71419679902303	159.6709115650063
24x46	91.9198020015274	251.5854725535638	167.62830906502637
24x48	20.13578903345959	205.11959925857877	200.8757078394499
24x50	42.29846332906199	132.8832570341351	276.2758766161099
24x52	169.29294137677468	149.44463857897364	378.64772546524046
24x54	292.83512425936885	160.914293957995	382.98983015218556
24x56	424.31626176709307	179.95024312292566	419.8262616845212
25x15	1178.6962967618078	433.08539573622187	889.1549696200318
25x17	1106.9364570742077	354.19418402904364	762.3358315073481
25x19	1044.7832789626757	308.07028418852724	633.8732523146879
