	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
37x27	551.9041844378424	437.87704758299446	472.370012596058	0.5556977595779942
37x29	668.163727240562	481.60187541163066	540.7797762490757	96.82399702553093
37x31	787.1738308658388	376.941162517441	430.7294278314402	23.482759633398977
37x33	909.0825357468925	288.75972156794967	323.28281241043396	0.4204759208326662
37x35	1032.1477307052514	214.40330687748244	237.9415432411917	0.46690470119736827
37x37	1156.0051385698941	162.79017292207783	199.45656268972448	0.01999999999998181
37x39	1280.820302774749	131.93046653445865	131.68814677107395	44.358178501827744
37x41	1405.6191874046115	159.4481106818138	160.9822971633836	126.36178219699202
37x43	1532.2681907551305	250.23990169435416	258.0569092274029	246.70518519074577
37x45	1658.935108073851	363.2493534749924	374.8924283044404	372.0815136498991
38x14	97.32010069867368	413.97637855317276	394.4585681665441	774.4308632796087
38x16	0.26076809620835706	320.78838507651693	321.9049362777778	648.2525958297427
38x18	71.21158613596536	252.14458154003609	271.04444285024533	520.4928914019863
38x20	198.4295875115403	233.21299534974474	264.75706071793456	393.6153721591675
38x22	326.2434784022509	274.5502635220007	314.7805699213343	266.9437528768936
38x24	423.247117414874	354.9530143554215	399.94824965237694	140.21427316789098
38x26	527.7742733404123	455.8211092084259	503.2207901110608	11.801847313026853
38x28	635.889256081592	513.627438908787	552.513045999821	53.1174735844998
38x30	749.5217208326922	398.1228579220238	466.4699454412899	64.71947156768194
38x32	869.1027133774238	289.1448190786061	345.714689303188	0.2154065922856065
38x34	987.9841784158289	205.79683379488574	237.076900604002	44.073765439318166
38x36	1109.6992291607671	129.74412973233106	157.79397707136974	37.96075868577975
38x38	1232.2560061935187	109.55649136404435	115.77661594639858	51.60217824859764
38x40	1356.184936208923	79.14001010866762	79.96062280898028	124.17013006355451
38x42	1481.7997794574005	167.51533183562665	177.13618038108456	212.8626467936545
38x44	1606.1536256535367	284.6866157725018	298.17818364192925	325.95139085452644
38x46	1731.4304926274115	407.7746323644965	422.78210794687175	447.04898031423835
39x13	173.172654885233	440.9482151001406	448.0554970090199	845.6474965374165
39x15	60.01677098944929	329.0002626138768	337.6323041416504	717.1497004112879
39x17	23.75950336181306	235.2073850881387	247.15928871883403	589.1643862284955
39x19	141.26600157150355	178.80974022686772	203.3777844308466	462.1590237136996
39x21	265.672148333242	193.5239788760039	231.94415362323753	335.1380766191748
39x23	392.50737063143185	268.78831075774116	313.7641725882674	209.36235573760604
39x25	509.71079486312635	370.2148759842046	419.8529437791284	89.29576921668803
39x27	612.5388686442681	483.4675021136373	535.7039719845279	40.55250423833275
