	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
16x24	423.4704698086986	423.2370007454452	32.165179931099246	225.24528585522057
16x26	311.5893868539172	311.25884083829663	99.79672339310538	342.0410297025782
16x28	206.98942581687592	206.6618068245799	223.53277701491578	465.6599428767737
16x30	119.27306485539785	118.87095524138746	350.22818847145953	517.9219477875023
16x32	33.183640547715804	32.79624978560823	477.37175660066026	574.5108475912356
16x34	90.48303487394764	90.14088750395143	430.649810867252	649.8554143807683
16x36	213.03455118829913	212.88006012776313	331.7865578952829	647.8289280357893
16x38	339.3526054121289	339.26100689587076	256.23604508343476	648.8307874939352
16x40	466.47563237536866	466.40882881866645	228.53340149746177	670.3587961681418
16x42	594.1121527119271	594.0588270533485	265.96385092715144	713.1744877657922
16x44	722.6976964125457	722.6538316510887	289.5046811365923	775.8587245111058
17x17	862.2761147103636	861.9806598758466	460.12956653534	155.25236874199354
17x19	742.3325238732303	742.0100376679551	334.17045949634746	50.075303294138784
17x21	621.1136965161853	620.7800125648376	205.48543500696096	45.548040572564695
17x23	500.4946437275828	500.0484860491031	74.8430918655824	148.77569828436359
17x25	394.38754239960474	394.1091391987758	32.44708923771158	267.2235274073001
17x27	292.6094598607503	292.3389402731015	156.99266224890883	392.36530937380275
17x29	201.8926496928504	201.68183358944356	284.9703177525686	442.589473440117
17x31	117.37861133954519	117.17703870639507	411.2986000462437	491.62373661164895
17x33	85.60142522178029	85.30981186241148	463.1027574955691	563.9785846998092
17x35	172.53272964860926	172.1768358403653	346.6113425726282	600.0059856368101
17x37	287.4766592264493	287.16341967597486	247.23322915821805	587.5038975189867
17x39	413.7644861512409	413.5660648554235	183.94545387152132	607.5423030538698
17x41	535.0502380150862	534.8852934975876	185.64018207273975	635.3815839320494
17x43	664.2913436136289	664.1574129677393	227.5710640657111	693.3114662256785
17x45	789.4764168738672	789.3647146915043	254.9812793128154	767.6262194584027
18x18	812.2284636726295	811.8685837005888	395.57380752522016	73.10811993205664
18x20	694.5185209913411	694.3025968552904	271.60798220965444	0.12649110640690775
18x22	579.5649250946782	579.1625526568513	151.74433234885578	77.2713556241898
18x24	472.99464436714305	472.7570344267763	66.2390640030491	203.70275795874738
18x26	371.7907734196748	371.5502916160879	119.49167000255738	330.24581632474946
18x28	279.0382167374211	278.87661501101167	236.476904580553	369.09365532341513
18x30	192.33211692278516	191.9758401466182	361.4523525998969	420.18196439161943
18x32	136.9347479641308	136.60045827155935	480.0649176934305	487.33652151259923
18x34	165.2082915594737	164.95423486531067	376.9307888724399	565.9659173483857
18x36	257.8955106239738	257.5869841432214	261.46321806326756	538.6278997601217
18x38	372.9619524830918	372.59288506357717	160.41065425962208	540.657246321549
18x40	492.5391882886074	492.2525896325993	119.42182380117957	566.648084793375
18x42	615.270299299422	615.0435929265506	184.9905435420959	619.7937892557493
18x44	740.5116352900878	740.3218502786475	184.96865139801375	690.7162094521887
19x17	893.3588689882696	893.0716369922405	419.90249915903087	142.1812533353115
19x19	776.9884843419496	776.5849759041183	350.65593507026233	23.092526929723412
19x21	662.188705732739	661.8262022615908	234.64680266306638	35.72844804913863
19x23	556.4080520625128	556.1930244078939	143.5793870999594	150.27934122826073
19x25	455.817974634612	455.55033311369647	125.72583664466113	273.18679689911835
19x27	365.4886591947829	365.2213575353996	186.89858212410255	289.8480981479779
19x29	277.91096415938705	277.63102132146565	285.5688778561136	341.5172382179263
19x31	208.9657780594708	208.60128571032348	398.7301047074325	404.30406428825324
19x33	194.50402360876743	194.33613971672887	424.7251054505723	489.49996445352303
19x35	248.54327027702863	248.39685424739196	300.3459292216227	493.13060866265414
19x37	343.14918563213894	342.8971326797589	178.36615037612918	478.06016734298174
19x39	454.1916692322749	453.7614708191962	75.71890384837833	494.47793924501815
19x41	571.2354950456074	570.8944130047169	98.92780600013339	538.5614457051304
19x43	693.7860376225512	693.5015400127098	119.16000167841543	607.7528000758202
19x45	817.1365773235221	816.8941338998588	169.04101869073108	692.3538878348271
20x18	848.8685215037721	848.4762146342111	336.19584589938046	104.68470184320147
20x20	749.0121563766505	748.6738745274874	293.69250994875574	35.817459429725076
20x22	641.2765874410198	641.0800118549946	206.9306685824989	117.80314766592616
20x24	541.5995073853004	541.3560255506537	109.64864978648852	231.95194847209189
20x26	450.35666754251577	449.9583625181335	103.32322101057431	218.55792824786747
20x28	365.18301493908507	365.0160467705496	199.39607418402196	266.270979267362
20x30	285.7448442229535	285.4109248084241	317.0543738856162	322.49892402921296
20x32	250.80900302820058	250.6256890264841	437.4976525651309	403.0400922985207
20x34	268.22369843099244	267.8630105109699	355.022861799068	457.70190342623664
20x36	335.74715784351775	335.6548733446306	227.39303859177386	422.15991519802077
20x38	429.47437734980207	429.260015375297	100.15308682212412	424.06886327576575
20x40	537.2977740508519	536.8867832234281	12.522699389508743	458.1598607473159
20x42	652.1411788869032	651.7524048287048	86.55100923732788	521.3257687856988
20x44	773.0657022530495	772.7376915875145	82.8870315550027	606.0965104667738
20x46	849.4718502693306	849.2790262334283	190.4552031318654	701.144396255151
21x17	834.2071071382694	833.9490497626339	331.4638103926279	190.62323468035055
21x19	770.6139022882991	770.1711150127613	257.74286876652866	102.20541277251407
21x21	716.3701551572343	716.2256342801478	233.21569243942395	115.34244318549875
21x23	628.6298169829365	628.4010238693124	125.46061852230763	203.07862221317149
21x25	536.1073213452694	535.6157764666757	30.923453882126413	161.14918553936286
21x27	452.0593080559233	451.9609474279831	115.08144072786017	184.2499877883305
21x29	369.71407114147	369.52344228749547	241.00625386076632	237.77269481586822
21x31	319.8034658974164	319.37128361829895	362.59533477418046	316.72299695475226
21x33	308.99075779058523	308.8878896946271	422.1575161003294	419.09894822106156
21x35	349.87716816048464	349.43902586860565	293.99474961298205	378.6787989840465
21x37	422.4900831972275	422.43062199608613	169.40162454947117	359.4802225436051
21x39	513.8719143911254	513.6815982688111	53.490040194413766	381.3353175356302
21x41	618.7884226454142	618.422696866795	77.07990659049857	437.2780259743221
21x43	696.7259346400131	696.4102727559379	2.2063544592833186	519.6104579394065
21x45	765.4527551717351	765.2364081772379	118.59089509738976	616.6866954945601
22x16	822.2968040798893	822.186155320071	340.8147209261946	277.34295375942037
22x18	745.7876598603652	745.4999085177676	240.72763364433246	188.60295225685087
22x20	687.4106036423935	686.9948020181811	177.8307566198828	153.27053859108085
22x22	636.1258190012411	635.853393165437	181.41338870105483	202.90120157357393
22x24	603.6538759918635	603.5104323870468	54.80950647469824	131.67855558138547
22x26	535.3890675013824	535.3097174533634	42.100042755322846	106.22849711824045
22x28	456.53499362042334	456.25887432465356	169.00000118343195	153.75083869689948
22x30	395.7801258274599	395.43200173986935	297.78003291020053	231.62760629942198
22x32	369.2662757415032	369.15902047762546	350.8312163989974	336.32915782013345
22x34	382.1662093906267	381.9075956301476	368.5849313251967	344.3829432477742
22x36	433.10725369127704	432.7697923838957	248.04195854733916	305.2043466269769
22x38	510.1484838750379	510.1172371131952	137.92576119057676	308.5144982006519
22x40	567.2831088618806	567.0024035222427	89.23657097849504	353.9425456200486
22x42	613.9797081337459	613.5329836284271	67.44035883653049	432.42446970540414
22x44	679.8725707071877	679.6292757084556	76.03704623405645	531.0901546818582
22x46	761.5452735064412	761.3464675165968	191.58894435744497	640.7414171098981
23x15	824.0165699790267	823.9918856396586	372.02944453362835	362.91451830975285
23x17	738.6525272413272	738.520545414953	257.8758538521974	272.4681926390675
23x19	665.0692899239896	664.7344736058149	156.73110859047713	216.13227523903046
23x21	608.6070209913781	608.5954534828533	116.20252148727226	222.7824634032043
23x23	561.8102003345966	561.5430359286808	135.02185452733184	149.9252520424758
23x25	541.2337269609126	541.1928188732734	50.174766566472684	47.628848400942736
