	dist_type_4	dist_type_ambigious	dist_type_parasite	dist_type_portal
31x31	7.2201108024738625	340.7734291285048	177.5199425416764	522.5536623161299
31x33	102.34109633964292	292.38553315785	166.08461698784765	400.4224019707188
31x35	229.16810423791568	292.55156810381357	142.6969516142518	279.6819979905748
31x37	341.9157791035684	342.2309161954837	207.61888160762282	170.6657552058996
31x39	424.4916135802925	424.44096173673	311.9251993667716	109.71476655400612
31x41	358.6921381909559	358.5214777387818	430.23069393059365	165.0001515150822
31x43	278.706386722658	279.20252506021467	373.74088617650557	271.55892546554276
31x45	243.05328633861322	243.1092347073634	251.51560587764715	215.92243977873173
31x47	265.6828936909562	266.17475462560293	137.42852687851948	155.9127961393806
31x49	336.5610197274784	336.8761196641877	71.98138648289557	75.17792229105538
31x51	428.50116685955476	428.72467855256474	137.41415502050728	47.7079657918889
32x26	303.24554407278606	584.9255166258347	157.73097349601338	740.1944744457361
32x28	180.533653372439	507.7891294622208	93.61730609241043	714.3233161531264
32x30	80.6736636083919	425.3544874572265	148.13858376533798	600.4793418594845
32x32	70.8928769341464	365.28263030152436	249.07227866625394	479.2264600374232
32x34	182.5028766896569	343.1077090360988	199.51265624014968	362.5510998466285
32x36	303.5761024850278	365.9967896034064	217.7720138126111	255.72612303008864
32x38	424.4109918463472	424.650550452958	292.6039815176822	180.31109228220012
32x40	376.0569238825418	375.9098429144944	396.4018289564267	177.8246608319558
32x42	273.08132488326595	272.91868752432447	428.3771819319978	250.608080476269
32x44	200.62933484413458	201.00878090272542	303.07149321570955	302.7958553217003
32x46	190.14815276515276	190.64605949245285	175.90770307180964	231.69790676654836
32x48	249.66227187943306	249.81563201689352	51.60862331045058	162.3873455660878
32x50	343.8272967639423	344.0392564810011	53.60419759683012	97.5018461363681
33x27	263.1061572825689	553.185366762354	165.80063329191475	667.9058691162998
33x29	162.97883298146414	507.81660075267325	161.2764706955111	649.6907725987802
33x31	110.46488129717987	443.2169784654015	233.14950139341937	561.8217599915475
