dist_comp_ann_central_px	dist_comp_ann_central_um	dist_comp_ann_portal_px	dist_comp_ann_portal_um
5x51_1	415.420473737152	1163.17732646403	584.330531463144	1636.1254880968
6x24_1	915.089006599904	2562.24921847973	535.548401173974	1499.53552328713
6x26_1	846.465362551829	2370.10301514512	546.617608571111	1530.52930399911
6x28_1	790.92080513791	2214.57825438615	445.211769835434	1246.59295553922
6x30_1	751.837642047803	2105.14539773385	342.924831413533	960.189527957892
6x32_1	734.853155399091	2057.58883511745	263.524496015076	737.868588842214
6x34_1	740.646447368783	2073.81005263259	227.11442050209	635.920377405851
6x38_1	773.449015772856	2165.657244164	117.944817605523	330.245489295463
6x40_1	681.949858860606	1909.4596048097	118.810816005951	332.670284816663
6x42_1	577.442170264694	1616.83807674114	198.085486596065	554.639362468983
6x44_1	482.955173903334	1352.27448692934	215.300023223408	602.840065025542
6x46_1	404.754308192019	1133.31206293765	288.288137112855	807.206783915993
6x48_1	354.851532334299	993.584290536037	387.32829744288	1084.51923284006
6x50_1	348.607587410257	976.10124474872	501.424620456555	1403.98893727835
7x23_1	910.022472249999	2548.0629223	479.135575802924	1341.57961224819
7x25_1	831.033525196186	2326.89387054932	483.45973979226	1353.68727141833
7x27_1	765.122787531518	2142.34380508825	474.954187264414	1329.87172434036
7x29_1	714.327102943742	2000.11588824248	360.075561514524	1008.21157224067
7x31_1	684.02913680632	1915.2815830577	256.993112748182	719.580715694911
7x33_1	676.972924126216	1895.52418755341	183.653859202577	514.230805767216
7x37_1	707.391864527717	1980.69722067761	201.771777015518	564.960975643451
7x39_1	710.297719269885	1988.83361395568	158.200031605559	442.960088495566
7x41_1	597.8587124062	1674.00439473736	164.04584725009	459.328372300253
7x43_1	492.864139494851	1380.01959058558	141.601765525716	396.484943472006
7x45_1	396.607942431818	1110.50223880909	202.515826542026	567.044314317673
7x47_1	323.961540927314	907.09231459648	303.604808921071	850.093464978999
7x49_1	288.805557425753	808.655560792108	420.740121690338	1178.07234073295
7x51_1	302.081859766521	845.829207346259	541.146606752736	1515.21049890766
8x22_1	914.701273640744	2561.16356619408	434.01799501864	1215.25038605219
8x24_1	825.175290468637	2310.49081331218	420.574202727652	1177.60776763743
8x26_1	748.524949483983	2095.86985855515	432.140023603461	1209.99206608969
8x28_1	685.540057181198	1919.51216010735	395.191055060714	1106.53495417
8x30_1	640.239213107101	1792.66979669988	275.977263556258	772.736337957521
8x32_1	619.755435635703	1735.31521977997	170.554390151646	477.552292424609
8x34_1	626.991586865406	1755.57644322314	113.047114071966	316.531919401504
8x38_1	661.281135372846	1851.58717904397	216.857418595721	607.20077206802
8x40_1	628.800588422116	1760.64164758193	145.740111156812	408.072311239074
8x42_1	513.218277149207	1437.01117601778	85.51257217509	239.435202090252
8x44_1	407.337169921921	1140.54407578138	117.004999893167	327.613999700867
8x46_1	312.121931302496	873.941407646988	221.242175002869	619.478090008033
8x48_1	245.478878928514	687.340860999839	340.796830971182	954.231126719309
8x50_1	234.487739551559	656.565670744367	465.579746123046	1303.62328914453
9x23_1	829.060733601586	2321.37005408444	365.602106120848	1023.68589713837
9x25_1	741.229957570523	2075.44388119747	369.268262920062	1033.95113617617
9x27_1	664.919634241613	1861.77497587652	392.40682970611	1098.73912317711
9x29_1	606.519843038956	1698.25556050908	309.854998346	867.593995368801
9x31_1	570.108708931902	1596.30438500932	194.426181364548	544.393307820733
9x33_1	562.273999043171	1574.36719732088	85.0685018088364	238.191805064742
9x35_1	583.84134831305	1634.75577527654	70.5331127910856	197.49271581504
9x39_1	621.862082780418	1741.21383178517	129.550955226119	362.742674633134
9x41_1	548.667112190989	1536.26791413477	67.7997050141074	189.839174039501
9x43_1	430.622084895793	1205.74183770822	32.3632507637908	90.6171021386142
9x45_1	322.066095700867	901.785067962426	141.238698662938	395.468356256225
9x47_1	226.576984709392	634.415557186297	266.581188383577	746.427327474015
9x49_1	175.250363765671	490.701018543879	394.312173284062	1104.07408519537
9x51_1	196.465213205799	550.102596976237	522.826338280695	1463.91374718595
10x22_1	835.712659949579	2339.99544785882	318.533907143337	891.894940001343
10x24_1	738.104714793233	2066.69320142105	302.086030792554	845.840886219151
10x26_1	651.509631548145	1824.22696833481	317.200567464814	888.161588901479
