dist_parasite_px	dist_parasite_um
9x25_1	340.725769497994	954.032154594382
9x27_1	243.400328676853	681.520920295188
9x29_1	183.879090709085	514.861453985439
9x31_1	200.121812904041	560.341076131315
9x33_1	278.203253036337	778.969108501743
9x35_1	327.540715026392	917.114002073897
9x39_1	409.11398167259	1145.51914868325
9x41_1	367.871988604732	1030.04156809325
9x43_1	341.79025732165	957.01272050062
9x45_1	215.231433577904	602.648014018132
9x47_1	88.5083611869521	247.823411323466
9x49_1	24.7969756220392	69.4315317417098
9x51_1	150.289653669173	420.811030273685
10x22_1	413.162498298188	1156.85499523493
10x24_1	425.736972789538	1192.06352381071
10x26_1	328.595191687279	920.066536724382
10x28_1	259.02642722317	725.273996224875
10x30_1	244.043787054701	683.322603753162
10x32_1	286.88891578449	803.288964196571
10x34_1	367.502176864301	1029.00609522004
10x36_1	393.957472324108	1103.0809225075
10x40_1	446.325273763429	1249.7107665376
10x42_1	403.944414492885	1131.04436058008
10x44_1	276.969059643853	775.513367002787
10x46_1	151.949267849503	425.457949978608
10x48_1	40.1429944074929	112.40038434098
10x50_1	99.3290491246142	278.12133754892
11x21_1	327.121078501524	915.939019804266
11x23_1	426.735796483023	1194.86023015246
11x25_1	414.662091346677	1161.0538557707
11x27_1	339.294326507238	950.024114220266
11x29_1	301.282923512104	843.59218583389
11x31_1	313.396521997294	877.510261592422
11x33_1	369.957538104037	1035.8811066913
11x35_1	447.045814207	1251.7282797796
11x37_1	463.277217225281	1297.17620823079
11x39_1	512.156509282075	1434.03822598981
11x41_1	475.150586656483	1330.42164263815
11x43_1	350.993518458675	982.781851684289
11x45_1	231.012748565961	646.835695984691
11x47_1	126.103608195801	353.090102948242
11x49_1	98.0632448983819	274.577085715469
11x51_1	183.458169619126	513.682874933553
12x20_1	241.933875263469	677.414850737714
12x22_1	341.25254577805	955.507128178539
12x24_1	454.599879014502	1272.87966124061
12x26_1	421.107409101289	1179.10074548361
12x28_1	368.461137706543	1031.69118557832
12x30_1	359.31586383014	1006.08441872439
12x32_1	388.984858317133	1089.15760328797
12x34_1	453.924332901421	1270.98813212398
12x36_1	505.103801213176	1414.29064339689
12x38_1	537.770852687276	1505.75838752437
12x40_1	552.054136838046	1545.75158314653
12x42_1	430.492206665812	1205.37817866427
12x44_1	313.562641269651	877.975395555023
12x46_1	210.364279287145	589.019982004006
12x48_1	150.691340162599	421.935752455276
12x50_1	177.344213325386	496.563797311081
12x52_1	266.637300466383	746.584441305872
13x19_1	155.116891407738	434.327295941667
13x21_1	258.098043386617	722.674521482527
13x23_1	374.197514689769	1047.75304113135
13x25_1	496.414705664528	1389.96117586068
13x27_1	443.670801383188	1242.27824387293
13x29_1	415.418921090506	1163.17297905342
13x31_1	424.515500305937	1188.64340085662
13x33_1	468.911974681816	1312.95352910908
