dist_roi_px	dist_roi_um
8x28_1	666.220961843741	2298.46231836091
8x30_1	738.897591009742	2549.19668898361
8x32_1	753.668892816998	2600.15768021864
8x34_1	629.780001270285	2172.74100438248
8x38_1	384.15093387886	1325.32072188207
8x40_1	267.679995517035	923.495984533771
8x42_1	156.051273625049	538.376894006419
8x44_1	78.7513174492972	271.692045200075
8x46_1	102.814882191247	354.711343559802
8x48_1	193.199585920882	666.538571427041
8x50_1	309.939510227399	1069.29131028453
9x23_1	497.677506021721	1716.98739577494
9x25_1	533.001547840154	1838.85534004853
9x27_1	583.896326414202	2014.442326129
9x29_1	654.486455169242	2257.97827033388
9x31_1	736.669763191079	2541.51068300922
9x33_1	681.75747153955	2352.06327681145
9x35_1	556.226141061349	1918.98018666165
9x39_1	304.261811603099	1049.70325003069
9x41_1	185.095110686371	638.57813186798
9x43_1	71.9956943157017	248.385145389171
9x45_1	31.9025077384207	110.063651697551
9x47_1	110.262096842025	380.404234104985
9x49_1	232.761444401774	803.02698318612
9x51_1	358.803260854748	1237.87124994888
10x22_1	431.333803451573	1488.10162190793
10x24_1	453.569586722919	1564.81507419407
10x26_1	502.707071762473	1734.33939758053
10x28_1	569.884804149049	1966.10257431422
10x30_1	651.644972358415	2248.17515463653
10x32_1	730.552701726576	2520.40682095669
10x34_1	611.340371642508	2109.12428216665
10x36_1	482.848102409029	1665.82595331115
10x40_1	227.020373535064	783.220288695971
10x42_1	100.744677278752	347.569136611696
10x44_1	0.509901951359261	1.75916173218945
10x46_1	35.7012604819496	123.169348662726
10x48_1	164.500030395134	567.525104863212
10x50_1	292.500017094017	1009.12505897436
11x21_1	376.575357664306	1299.18498394186
11x23_1	382.088000335001	1318.20360115575
11x25_1	423.592787946159	1461.39511841425
11x27_1	484.827433217222	1672.65464459942
11x29_1	568.234458652412	1960.40888235082
11x31_1	644.824456732218	2224.64437572615
11x33_1	674.093598842178	2325.62291600551
11x35_1	547.278685863062	1888.11146622756
11x37_1	419.89829721017	1448.64912537508
11x39_1	291.17604640492	1004.55736009697
11x41_1	164.705434033003	568.233747413861
11x43_1	42.1858981177359	145.541348506189
11x45_1	19.9722307216798	68.9041959897953
11x47_1	115.165619869821	397.321388550881
11x49_1	235.453604771726	812.314936462454
11x51_1	361.313298952585	1246.53088138642
12x20_1	335.216348050032	1156.49640077261
12x22_1	316.396744610307	1091.56876890556
12x24_1	345.88849359295	1193.31530289568
12x26_1	401.409080614776	1384.86132812098
12x28_1	482.883226049528	1665.94712987087
12x30_1	559.265133903411	1929.46471196677
12x32_1	648.315370788014	2236.68802921865
12x34_1	616.548538235231	2127.09245691155
12x36_1	488.806965989643	1686.38403266427
12x38_1	365.715039340741	1261.71688572556
12x40_1	242.371141021368	836.18043652372
12x42_1	126.998976373828	438.146468489705
12x44_1	41.2059461728523	142.16051429634
12x46_1	103.721405698149	357.838849658615
12x48_1	199.475010966287	688.188787833689
12x50_1	313.340022978234	1081.02307927491
12x52_1	434.014573488034	1497.35027853372
13x19_1	313.688141312355	1082.22408752762
13x21_1	263.716893656815	909.823283116012
13x23_1	269.618582445647	930.184109437481
13x25_1	318.814930641587	1099.91151071348
13x27_1	396.688517605438	1368.57538573876
13x29_1	475.689058104136	1641.12725045927
13x31_1	562.119391232859	1939.31189975336
13x33_1	662.320798405123	2285.00675449768
13x35_1	565.787239163274	1951.9659751133
13x37_1	442.790085706534	1527.62579568754
13x39_1	322.796778174752	1113.64888470289
13x41_1	212.441992082544	732.924872684779
13x43_1	122.626669203726	423.062008752854
13x45_1	105.528053142281	364.071783340869
13x47_1	190.80303980807	658.270487337843
13x49_1	284.780371514612	982.49228172541
