	dist_type_3	dist_type_ambigious	dist_type_central	dist_type_portal
25x21	421.42353992153784	498.81158767614846	421.9082838722179	328.80054744479975
25x23	310.96552863621383	374.39999999999986	311.52296865560317	268.79203857257374
25x25	214.13271585631185	247.9000201694222	214.75479040058687	258.41598247786465
25x27	116.23136409764774	117.20038395841524	161.5479185876436	312.0127080745269
25x29	14.15238495802009	0.29999999999972715	184.17136042284076	389.74439059465607
25x31	47.511893247901554	47.79728025735347	268.69570149148285	317.1135127994387
25x33	157.26007121962036	157.89784672376018	237.32157508326142	282.26181109034195
25x35	97.032211146608	97.30801611378128	255.6768468203563	301.4044624752592
25x37	12.226201372462468	0.28284271247436177	184.38839442871677	303.24458775054813
25x39	91.0371352800603	91.11618956036298	180.31627769006334	168.0201178430726
25x41	215.73189379412585	215.8338481332342	243.7585895922439	44.63462781294362
25x43	342.4778095001194	342.52627636431055	348.89661792571184	30.92975913258958
25x45	338.757376303454	466.5071917987975	339.21137952610013	141.60918049335635
25x47	247.44001293242752	593.7423346873629	247.84906697423713	20.033971149025493
25x49	164.10362579784763	722.0837901518078	164.2224101637776	73.97972695272672
25x51	34.839776118683695	837.2243486664729	35.298866837336334	205.7921524256938
25x53	42.69074841227312	853.6055880791785	43.06390600026895	327.1184800649453
25x55	152.18968427590627	899.3458178031407	152.5480252248453	455.9794951530169
25x57	212.51082325378172	954.1220309792665	212.72106148663337	584.4958939120106
26x20	468.72714877634286	576.5743143776002	469.47794410387354	331.1222432878829
26x22	340.35735631832586	443.78568025568364	340.99579176288944	236.32208953036928
26x24	223.1317323914283	317.2219569954134	223.6080723050936	191.36972069792031
26x26	126.24456423941572	195.2912952489179	126.81754610463003	218.78548854985775
26x28	78.39547180800706	78.9179954129603	98.8111835775686	297.5221840468369
26x30	30.891422757781555	0.28284271247436177	176.02636166211016	309.99561287218216
26x32	72.60220382330034	73.22349349764764	284.9138115290308	237.93797511116176
26x34	171.27104250281155	171.43969785320982	305.4114765361644	220.6625704554354
26x36	48.73325353390629	49.12361957348002	267.4650070569981	271.3336138409688
26x38	41.91002266761528	42.00773738253497	226.58960699908562	244.56829312075556
26x40	144.80707855626414	145.11750411304644	247.82673382829392	121.85191832712343
26x42	271.81188347826173	271.9869482162703	325.83508098423056	0.31622776601655034
26x44	396.7943169955944	396.9097252524814	423.9253825851907	103.05401496302832
26x46	337.39716951984025	524.352791544014	337.7769234272819	69.13501283720116
26x48	247.16828275488743	652.5950965185074	247.4808275402359	0.40000000000009095
26x50	134.73893275516176	772.3034248273146	135.2663298829387	122.30036794711636
26x52	53.06872902190139	784.4092618015164	53.12899396751268	253.30000000000018
