	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
13x51	476.4489479472069	1605.5240888881112	736.7002103976896	308.3115307606904	755.0801281983257
13x53	603.5072576199893	1586.139152155321	807.2636558151247	390.959345712569	810.3923802701997
14x34	528.4634329828316	1470.7054769735507	282.86427840927513	571.3160246308515	1037.757582482537
14x36	411.86060748753323	1489.0268499929743	300.3513942035228	451.52204818812555	937.9596793039666
14x38	325.79211162948684	1520.5402000604918	338.2462121000027	333.47638597058113	861.6324622482605
14x40	208.4000959692675	1558.4941450002304	383.8708116020283	209.0554950246463	782.6285197972277
14x42	94.40831531173488	1607.2631800672846	433.92226262315705	97.65720659531459	720.2079769066709
14x44	71.86744742927766	1669.4761244174772	516.663846228861	71.43619530742093	679.2278925368125
14x46	164.139727062037	1640.6036846234376	590.7654780029042	170.0783642912878	659.6096193962
14x48	284.14169000694	1599.2262191447462	619.9971774129299	294.0042516699376	661.4170393934526
14x50	407.3956308062229	1568.1902945752468	665.5671265920517	330.26201719241055	688.8279901397736
14x52	534.2484908729272	1544.8474520158939	731.6238446086895	377.0162463342924	738.1768419559096
15x33	557.4946995263721	1406.3687780948492	235.20276358920597	591.9931925284276	1045.8703265701727
15x35	445.4701897994969	1422.4169887905587	228.7126800157788	486.3057577286123	951.899726862026
15x37	333.80979614145514	1449.9519233409085	265.86346119766046	376.84238084376847	859.6558497445355
15x39	237.57855542956722	1488.017597342182	319.0657769175503	255.57654430718003	772.9680265056245
15x41	135.58672501391868	1528.650044974323	352.5137727805822	135.4974538506167	700.5840135201487
15x43	9.276313923105057	1586.934923051352	429.05739709274343	14.080127840328426	644.1655454927713
15x45	79.97505861204475	1611.0078243137118	521.0002015354696	91.19106315862315	610.8852674602653
15x47	209.19304481746067	1564.3471897248385	547.2300521718447	215.61384463897508	600.432285940721
15x49	332.8516937015645	1525.552506471016	583.7590684520455	334.8322714434797	613.5118988251164
15x51	462.93258688495905	1498.874037402743	647.7556483736751	347.84620164664716	658.2611791682691
15x53	590.8442857470994	1479.5267385214772	726.3657274403852	307.96585849733395	720.730303234157
16x32	601.3428306714899	1342.7164257578738	209.90378748369454	628.1203706297067	1064.5594393926533
16x34	480.4379044163769	1354.7418130404037	165.9173890826395	511.5288652656854	961.8200351417096
16x36	356.39205939526744	1376.831761690585	195.3655547940834	394.64781768052364	859.3907725825311
16x38	249.78534784890792	1409.7966945627302	233.78691152414834	293.17421441866253	774.6913708051741
16x40	158.73121936153558	1452.2254645887465	275.3041953912073	193.55464344727014	693.5146717986574
16x42	76.89661891136699	1505.7239753686595	341.6004830207357	76.80162758692033	622.6233933928277
16x44	10.9786155775673	1567.9944929750231	437.52523355802015	20.550669088864268	569.0081985349595
16x46	138.66380205374452	1531.601726951233	476.5602270437598	138.5274341060284	544.0005974261423
16x48	261.15047386516466	1489.8950197916631	508.399813139226	261.9587181217683	546.4669889389477
16x50	391.0754019367621	1451.1558048672787	561.4721453464989	333.7986968219018	576.4761660294379
16x52	514.7662479222976	1434.7667719876983	641.0542020765484	272.1931115954258	638.6791761127023
16x54	640.8226041581244	1418.720835823595	730.0272666140629	250.91355084969007	712.6549024598091
17x31	653.8052385840906	1284.0000350467285	197.60994408176916	674.4214483540686	1091.1004032626875
17x33	527.7033446928301	1291.8428774429185	129.33684703130797	551.0281481013468	981.6960935034832
17x35	404.2164395469336	1309.8447732460513	117.85809263686565	431.42824432343303	877.6603728094369
17x37	279.26104275390765	1336.2881912222376	153.83539904716332	313.01650116247833	775.7241326657303
17x39	159.54767312624745	1377.1873728726969	203.33976492560436	203.26696731146424	684.4126386910164
17x41	78.42066054299707	1427.8474008100445	259.377716853241	107.51930059296302	606.3652364705613
17x43	0.4123105625618322	1487.0954138857398	352.2654822715391	42.74774847872105	541.0857325784888
17x45	61.903311704625374	1505.2064376689332	413.33378763415885	74.50650978270289	498.41270048023443
17x47	190.1094947655167	1459.9757600727482	440.0663813562676	193.70704685168275	489.0975567307609
17x49	322.3124726100437	1417.0759083408338	486.46595975463686	324.30191180441744	508.1394788835049
17x51	447.4334363902638	1388.661398613787	557.8880532866787	254.17883468141056	558.3773634380248
17x53	574.1722737994237	1368.228782039027	646.344335474521	197.25364381932195	629.6719780965325
17x55	699.1373041112884	1356.3236228865144	743.6810942870607	207.48245708975006	714.0852680177627
18x30	708.0251549203603	1233.2133716433664	205.37774952511288	723.6897263330467	1100.8938277599705
18x32	585.8855178275019	1225.1018896402045	112.49551102155128	601.9488682604195	1008.1424700904133
18x34	454.043742386127	1243.63681193506	53.61828046478163	472.5881081872455	895.3716100033546
18x36	323.1615385530894	1261.4520918370224	78.81738386929608	343.61458059866993	781.9328487792284
18x38	198.6138464458105	1295.8517893648177	129.24341375869008	224.42963262457116	683.0258121037593
18x40	69.28585714270955	1342.5438279624243	171.36957139469075	113.00057521977456	588.7443672766642
18x42	10.35808862676889	1400.3324926602252	264.523136984272	35.15238256505507	517.1840001392153
18x44	3.1400636936218755	1471.5550482397866	355.9745215601813	11.500434774390056	457.9932968941793
18x46	130.15513820053368	1420.7956784844187	362.44856186774973	130.0513744640941	426.6600051563305
18x48	259.1900075234383	1371.7605694872557	399.328761799097	259.1190074077932	428.71232779102576
18x50	385.7917184181122	1340.616742398811	470.5520693823373	259.39786043836216	474.27022887801
18x52	516.2759920817548	1309.2573849323899	558.3917083911616	157.71144536779812	540.6911317933743
18x54	636.4165302692886	1296.9448716117427	656.3232435317221	129.41792766073786	625.131346198541
19x29	773.9023323391655	1171.669415833664	239.8516624916326	703.2257247854346	1064.877279314382
19x31	642.100124591173	1169.6000042749656	117.22700200892272	653.1263047833855	1020.7759646465036
19x33	514.100087531601	1174.6318997881845	34.70014409191967	525.3144772419658	919.9039623786821
19x35	385.20020768426366	1197.312323497925	24.60081299469602	397.08059635293165	807.4618257230491
19x37	263.4003037204016	1224.9202096463264	60.12420477644607	275.6822808959614	702.9670831553917
19x39	131.7006074397531	1270.5423448275938	93.6923155867118	146.10355916267045	599.8706944000513
19x41	4.604345773288436	1326.6704941318321	187.040102651811	39.962482405375965	513.8834498210657
19x43	0.5099019513592606	1386.4972628894727	291.18080293865523	25.374396544548517	430.70902010522127
19x45	88.28187809511103	1394.0815220065144	297.02876965034886	88.49231605060433	382.12758340638004
19x47	205.3584670764759	1344.4780771734436	326.927056084381	206.0468393351377	368.89253177585465
19x49	332.27004078008616	1299.87590946213	386.62356368954033	291.84067571193685	395.39319670424277
19x51	451.2320245727249	1266.9940568132117	467.36916885905106	178.05150940107166	452.24278877611766
19x53	582.8892604946502	1247.1907993566983	576.9402828716333	79.49647790940168	544.3196579217033
19x55	708.318233564547	1234.6787112443462	685.7713321508854	110.03508531373073	641.5602232058967
20x28	835.911628104311	1125.6403732986837	279.56975873652715	670.8250517087149	1043.5019166249767
20x30	707.730209896398	1109.7786491008014	165.3004839678333	632.1470161283685	985.3308327663351
20x32	583.1860166362013	1115.4756519081893	40.86477700905729	591.0958720884453	950.1037469666142
20x34	454.63730599237	1125.812630947086	8.664871608973673	461.71493369827215	838.4641196855114
20x36	332.1210622649515	1152.106418695773	0.4472135954995512	338.1035344387866	727.5130239384031
20x38	205.97109020442622	1189.3372482185196	21.72763217656282	209.79487600987753	615.1355053969813
20x40	84.63108176078097	1238.826388159374	96.16662622760559	84.81992690400052	511.61940932689396
