"x_cord"	"y_cord"	"cluster"
"34x40"	"34"	"40"	"1"
"34x42"	"34"	"42"	"11"
"34x44"	"34"	"44"	"0"
"34x46"	"34"	"46"	"8"
"35x11"	"35"	"11"	"8"
"35x13"	"35"	"13"	"4"
"35x15"	"35"	"15"	"1"
"35x17"	"35"	"17"	"1"
"35x19"	"35"	"19"	"1"
"35x21"	"35"	"21"	"6"
"35x23"	"35"	"23"	"1"
"35x25"	"35"	"25"	"4"
"35x27"	"35"	"27"	"0"
"35x29"	"35"	"29"	"4"
"35x31"	"35"	"31"	"0"
"35x33"	"35"	"33"	"0"
"35x35"	"35"	"35"	"4"
"35x37"	"35"	"37"	"4"
"35x39"	"35"	"39"	"3"
"35x41"	"35"	"41"	"1"
"35x43"	"35"	"43"	"3"
"35x45"	"35"	"45"	"0"
"36x12"	"36"	"12"	"8"
"36x14"	"36"	"14"	"5"
"36x16"	"36"	"16"	"5"
"36x18"	"36"	"18"	"3"
"36x20"	"36"	"20"	"4"
"36x22"	"36"	"22"	"2"
"36x24"	"36"	"24"	"3"
"36x26"	"36"	"26"	"0"
"36x28"	"36"	"28"	"0"
"36x30"	"36"	"30"	"1"
"36x32"	"36"	"32"	"0"
"36x34"	"36"	"34"	"4"
"36x36"	"36"	"36"	"0"
"36x38"	"36"	"38"	"1"
"36x40"	"36"	"40"	"3"
"36x42"	"36"	"42"	"3"
"36x44"	"36"	"44"	"3"
"37x13"	"37"	"13"	"8"
"37x15"	"37"	"15"	"0"
"37x17"	"37"	"17"	"7"
"37x19"	"37"	"19"	"3"
"37x21"	"37"	"21"	"4"
"37x23"	"37"	"23"	"3"
"37x25"	"37"	"25"	"4"
"37x27"	"37"	"27"	"3"
"37x29"	"37"	"29"	"3"
"37x31"	"37"	"31"	"1"
"37x33"	"37"	"33"	"2"
"37x35"	"37"	"35"	"0"
"37x37"	"37"	"37"	"0"
"37x39"	"37"	"39"	"1"
"37x41"	"37"	"41"	"3"
"37x43"	"37"	"43"	"3"
"37x45"	"37"	"45"	"8"
"38x14"	"38"	"14"	"8"
"38x16"	"38"	"16"	"1"
"38x18"	"38"	"18"	"1"
"38x20"	"38"	"20"	"7"
"38x22"	"38"	"22"	"1"
"38x24"	"38"	"24"	"1"
"38x26"	"38"	"26"	"0"
"38x28"	"38"	"28"	"1"
"38x30"	"38"	"30"	"3"
"38x32"	"38"	"32"	"3"
"38x34"	"38"	"34"	"1"
"38x36"	"38"	"36"	"6"
"38x38"	"38"	"38"	"11"
"38x40"	"38"	"40"	"4"
"38x42"	"38"	"42"	"1"
"38x44"	"38"	"44"	"8"
"39x15"	"39"	"15"	"8"
"39x17"	"39"	"17"	"8"
"39x19"	"39"	"19"	"0"
"39x21"	"39"	"21"	"4"
"39x23"	"39"	"23"	"3"
"39x25"	"39"	"25"	"0"
"39x27"	"39"	"27"	"1"
"39x29"	"39"	"29"	"1"
"39x31"	"39"	"31"	"1"
"39x33"	"39"	"33"	"1"
"39x35"	"39"	"35"	"6"
"39x37"	"39"	"37"	"5"
"39x39"	"39"	"39"	"0"
"39x41"	"39"	"41"	"0"
"39x43"	"39"	"43"	"1"
"40x16"	"40"	"16"	"8"
"40x18"	"40"	"18"	"8"
"40x20"	"40"	"20"	"6"
"40x22"	"40"	"22"	"3"
"40x24"	"40"	"24"	"0"
"40x26"	"40"	"26"	"0"
"40x28"	"40"	"28"	"3"
"40x30"	"40"	"30"	"7"
"40x32"	"40"	"32"	"10"
"40x34"	"40"	"34"	"0"
"40x36"	"40"	"36"	"6"
"40x38"	"40"	"38"	"1"
"40x40"	"40"	"40"	"0"
"40x42"	"40"	"42"	"4"
"41x19"	"41"	"19"	"8"
"41x21"	"41"	"21"	"5"
"41x23"	"41"	"23"	"1"
"41x25"	"41"	"25"	"0"
"41x27"	"41"	"27"	"10"
"41x29"	"41"	"29"	"1"
"41x31"	"41"	"31"	"0"
"41x33"	"41"	"33"	"0"
"41x35"	"41"	"35"	"1"
"41x37"	"41"	"37"	"5"
"41x39"	"41"	"39"	"3"
"41x41"	"41"	"41"	"8"
"42x20"	"42"	"20"	"8"
"42x22"	"42"	"22"	"1"
"42x24"	"42"	"24"	"7"
"42x26"	"42"	"26"	"1"
"42x28"	"42"	"28"	"5"
"42x30"	"42"	"30"	"0"
"42x32"	"42"	"32"	"0"
"42x34"	"42"	"34"	"2"
"42x36"	"42"	"36"	"0"
"42x38"	"42"	"38"	"1"
"42x40"	"42"	"40"	"1"
"43x23"	"43"	"23"	"5"
"43x25"	"43"	"25"	"0"
"43x27"	"43"	"27"	"3"
"43x29"	"43"	"29"	"0"
"43x31"	"43"	"31"	"0"
"43x33"	"43"	"33"	"11"
"43x35"	"43"	"35"	"1"
"43x37"	"43"	"37"	"0"
"43x39"	"43"	"39"	"1"
"44x24"	"44"	"24"	"5"
"44x26"	"44"	"26"	"2"
"44x28"	"44"	"28"	"0"
"44x30"	"44"	"30"	"0"
"44x32"	"44"	"32"	"0"
"44x34"	"44"	"34"	"1"
"44x36"	"44"	"36"	"6"
"44x38"	"44"	"38"	"2"
"45x25"	"45"	"25"	"8"
"45x27"	"45"	"27"	"0"
"45x29"	"45"	"29"	"6"
"45x31"	"45"	"31"	"1"
"45x33"	"45"	"33"	"0"
"45x35"	"45"	"35"	"0"
"45x37"	"45"	"37"	"0"
"46x26"	"46"	"26"	"8"
"46x28"	"46"	"28"	"0"
"46x30"	"46"	"30"	"0"
"46x32"	"46"	"32"	"1"
"46x34"	"46"	"34"	"0"
"46x36"	"46"	"36"	"0"
"46x38"	"46"	"38"	"4"
"47x27"	"47"	"27"	"8"
"47x29"	"47"	"29"	"0"
"47x31"	"47"	"31"	"1"
"47x33"	"47"	"33"	"0"
"47x35"	"47"	"35"	"0"
"47x37"	"47"	"37"	"1"
"48x28"	"48"	"28"	"8"
"48x30"	"48"	"30"	"1"
"48x32"	"48"	"32"	"1"
"48x34"	"48"	"34"	"0"
"48x36"	"48"	"36"	"5"
"48x38"	"48"	"38"	"8"
"49x29"	"49"	"29"	"8"
"49x31"	"49"	"31"	"8"
"49x33"	"49"	"33"	"5"
"49x35"	"49"	"35"	"0"
"49x37"	"49"	"37"	"8"
"50x30"	"50"	"30"	"8"
"50x32"	"50"	"32"	"8"
"50x34"	"50"	"34"	"3"
"50x36"	"50"	"36"	"8"
"51x33"	"51"	"33"	"8"
"51x35"	"51"	"35"	"8"
"52x34"	"52"	"34"	"8"
