	dist_type_central	dist_type_portal
19x49	683.0000951683683	450.66764916066484
20x28	922.9542242169973	182.4645170985304
20x30	784.5550649890673	46.7402396228344
20x32	693.2073643578807	71.50279714808383
20x34	591.0095515302606	165.23162530218013
20x36	508.88538002186675	191.28755840357198
20x38	437.8531717368276	257.0638053091101
20x40	405.93463759575866	219.16872495864905
20x42	405.08470719097744	198.1000252397762
20x44	448.0503208346134	235.56716664255225
20x46	508.1638810462625	280.96499782001314
20x48	598.5521364091856	366.1866463977082
21x29	827.7729459217666	95.90020855034683
21x31	713.4678829491907	0.14142135623718088
21x33	605.0356105222236	84.03148219566268
21x35	505.56740401256064	117.17764291877499
21x37	420.26597530611485	174.18005052244067
21x39	360.04367790588935	187.7403792475126
21x41	341.8758254103379	149.8001335112887
21x43	369.20422532793407	154.75839234109392
21x45	428.6691614753737	204.8249252410458
21x47	509.7187950232952	277.53963680887097
21x49	613.2423012154333	382.48832661925786
22x30	743.5693646190648	44.65422712353201
22x32	629.3198868619997	0.5656854249493666
22x34	515.6534980003527	70.85146434619367
22x36	416.56118398141683	86.2671432238257
22x38	331.7441333316986	163.45143009469226
22x40	285.6983724139849	104.47372875512768
22x42	292.40909698571267	83.20024038426794
22x44	343.95796254775087	127.33844666871028
22x46	431.2338808581719	198.9830646060112
22x48	522.8882289744147	292.53598069297385
23x29	783.3370283600793	125.65388971297311
23x31	664.8809216694368	26.522443326360303
23x33	544.2735066122544	13.223085872821281
23x35	432.86080903680784	4.204759208325537
23x37	330.48425075939684	85.83612293201493
23x39	252.14004045371263	111.01801655587218
23x41	225.03584158973405	32.80137192252761
23x43	261.37884382635104	53.44249245684561
23x45	340.83821675393165	108.44210436910576
23x47	442.9577857990535	214.8678663737323
23x49	553.116705587528	332.2283702515487
24x28	846.129830463387	219.0120772925549
24x30	709.004612114759	113.98570085760744
24x32	583.3841358830387	31.2161817011626
24x34	464.8145651762643	29.613848111989967
24x36	346.7768879265165	3.001666203961042
24x38	245.03903770623947	99.57072863045659
24x40	177.02005536096755	36.70013623952896
24x42	178.10370574471477	0.36055512754632324
24x44	258.9647466355217	27.7189465889307
24x46	359.6719894570606	135.33196222622348
24x48	473.4303961513247	258.58217262603415
25x27	899.210464796757	255.3144335912093
25x29	754.8073264085343	194.31340663989175
25x31	632.6564075388785	111.8710418294205
25x33	507.8066265814179	15.77244432546819
25x35	383.3115182198413	0.5656854249490451
25x37	265.52297452386256	15.246311029229565
25x39	151.56942303776162	108.70459971868722
25x41	112.41325544614392	0.5830951894846237
25x43	165.46353072505133	0.42426406871154265
25x45	278.8937073510265	69.1903172416489
25x47	399.1116385173454	197.87698198628377
25x49	513.686694396497	307.73823291882354
26x26	965.5603399063156	169.65367664745725
26x28	837.1817604319862	234.7818136057392
26x30	696.4655913970195	203.60628673987463
26x32	566.1767391901576	100.92621066898316
26x34	434.8959415768325	2.5455844122711855
26x36	314.49605720898944	0.4123105625618322
26x38	187.0583064180792	34.64693348624095
26x40	73.19050484864808	82.4211744638473
26x42	70.21659348045885	0.4123105625618322
26x44	181.6828280273072	48.90040899624469
26x46	316.96258454271873	120.20848555738485
26x48	441.60562722863955	221.56563361676837
27x15	1341.2075827402705	662.5609255004402
27x21	1144.913171380258	296.61721123360314
27x23	1096.5759435625057	181.4216084153152
27x25	1021.2000783392056	105.30906893520603
27x27	896.0076394763607	155.33541128796085
27x29	757.0001651254773	231.59933074169277
27x31	624.7000320153663	158.12757507784642
27x33	500.80000998402517	39.32492848054498
27x35	377.0000132625992	25.17955519861293
27x37	244.40002045826392	0.41231056256139104
27x39	113.09999999999991	45.402753220482204
27x41	0.36055512754632324	51.39192543581139
27x43	114.136847687327	41.59350910899468
27x45	246.65273158836126	31.470144581809922
27x47	369.40066323708743	135.63646264924486
27x49	499.9003600718848	259.782158740742
28x10	1456.4446711083808	978.7019362400382
28x12	1389.3121751427936	851.2143795777887
28x14	1324.4224703620816	722.5288091142108
28x16	1256.1391642648514	593.5388782548283
28x20	1112.9162142767082	338.30829135568047
28x22	1063.0047271766948	216.31238984394756
28x24	1019.2468444886154	91.77652205221102
28x26	960.0575659823736	70.22770108724893
28x28	834.732927348622	137.00021897792723
28x30	693.9802951093062	238.59432097181175
28x32	565.8774160540426	123.1025994851449
28x34	437.4783423210799	76.17151698633843
28x36	303.31452322630355	33.336166546260024
28x38	186.0789617339906	0.42426406871218575
28x40	64.76982322038548	95.02278674086577
28x42	77.11296907784092	81.00006172837155
28x44	186.9569469155936	26.752569970004497
28x46	315.6190425180334	63.34177136771612
28x48	438.0957429603718	185.6881256300468
29x7	1515.4869910362145	1166.1111525064837
29x9	1436.4781446301229	1038.1097533498082
29x11	1368.9934185378684	913.3002682579262
29x13	1303.2269641163812	786.407349914788
29x15	1251.0843656604457	657.2001902008244
29x17	1175.9155794528785	530.7003391745664
29x19	1100.6460148476438	404.41346416755204
29x21	1046.4364720325834	278.5000718132762
29x23	990.0165099633439	150.0002999997
29x25	950.3173049039987	15.316004700965555
29x27	902.4589519751023	52.821965128154474
29x29	766.0125129526278	168.81637953705803
29x31	635.8904308133593	211.0304243468224
29x33	508.080407022353	136.6458927300781
29x35	385.39499218334413	118.7000421229915
29x37	261.6811036357038	0.4472135954999579
29x39	148.0581304758368	70.76022894253545
29x41	92.23041797585022	149.73593423089878
29x43	158.72129661768787	103.6004343620237
