	dist_type_ambigious
60x36	815.4254104453705
60x38	887.9443676267113
61x29	754.8596823251326
61x31	764.4896075160211
61x33	790.9929519281447
61x35	838.1071828829537
61x37	897.5749606578834
62x30	816.7364630038261
62x32	828.1809584867312
62x34	866.007863705637
62x36	918.3130294186186
62x38	985.649597980946
63x31	880.6910468490074
63x33	901.4522172583531
63x35	943.3348769127537
63x37	999.7448524498643
64x30	928.5656304214583
64x32	945.6783808462583
64x34	974.1203467744633
64x36	1023.1202568613335
64x38	1078.7261561675425
65x31	991.5953458946848
65x33	1013.8769649222729
65x35	1049.8802312645
65x37	1098.668175565307
